####################################################################### 
# Datet Time: 20181012 Camera ID: 2 Softwareversion: 3.  
####################################################################### 
# sun_x, sun_y: position in pixels of sun.  
# lum_hdr:      luminance from HDR image  
# lum_hdr_m:    luminance from masked HDR image  
# lum_jpg_m:    luminance from masked and tone mapped HDR image  
# lum_sqrcrpt:  luminance from cropped square of low_LDR image  
####################################################################### 
no,date,time,sun_x,sun_y,lum_hdr,lum_hdr_m,lum_jpg_m,lum_sqrcrpt 
0,2018-10-12,09:20:13,352,1413,3276.7302,2092.5189439,16948.7889066,0
1,2018-10-12,09:20:30,352,1414,3274.4675,2082.6259712,17280.5885496,0
2,2018-10-12,09:20:52,353,1415,3305.9905,2110.1643463,17257.9063874,0
3,2018-10-12,09:21:12,353,1416,3291.7544,2099.913672,17510.2711412,0
4,2018-10-12,09:21:29,354,1417,3300.179,2112.3657136,17622.6135205,0
5,2018-10-12,09:21:47,355,1418,3345.3792,2138.6305824,17596.6026622,0
6,2018-10-12,09:22:08,355,1419,3302.6624,2109.487674,17707.4570007,0
7,2018-10-12,09:22:25,356,1420,3373.7102,2157.8251311,17656.5562579,0
8,2018-10-12,09:22:42,357,1422,3325.876,2126.5158147,17573.5423514,0
9,2018-10-12,09:23:09,357,1423,3357.472,2139.8666009,17433.9014964,0
10,2018-10-12,09:23:30,358,1424,3368.3315,2147.2950872,17665.9358911,0
11,2018-10-12,09:23:48,359,1425,3400.269,2172.696304,17988.2410997,0
12,2018-10-12,09:24:07,359,1426,3379.485,2157.4641398,17547.1405039,0
13,2018-10-12,09:24:28,360,1427,3405.3823,2165.9902524,17950.1331516,0
14,2018-10-12,09:24:48,361,1428,3426.09,2176.0089548,17730.5596405,0
15,2018-10-12,09:25:10,361,1429,3436.9614,2185.808569,17630.2115463,0
16,2018-10-12,09:25:36,362,1431,3447.1816,2196.8563676,17817.5372709,0
17,2018-10-12,09:25:53,363,1432,3439.5103,2180.8287027,18105.2128894,0
18,2018-10-12,09:26:13,364,1433,3454.2256,2190.5548593,17848.9395945,0
19,2018-10-12,09:26:38,364,1435,3463.517,2201.8805225,17910.7165136,0
20,2018-10-12,09:27:08,366,1436,3493.5342,2216.6680984,18168.7707197,0
21,2018-10-12,09:27:36,367,1438,3496.876,2210.797036,18299.1527316,0
22,2018-10-12,09:27:53,367,1439,3548.5012,2244.5605802,18410.594948,0
23,2018-10-12,09:28:11,368,1439,3561.7678,2255.7697728,18270.8278452,0
24,2018-10-12,09:28:32,369,1441,3544.769,2235.9275235,18409.3103402,0
25,2018-10-12,09:28:51,369,1442,3536.0354,2230.6860963,18547.7305298,0
26,2018-10-12,09:29:16,370,1443,3566.844,2254.1565954,18600.8595354,0
27,2018-10-12,09:29:33,371,1444,3560.0232,2248.9516912,18653.1022008,0
28,2018-10-12,09:29:52,372,1445,3602.0813,2265.8872249,18592.054482,0
29,2018-10-12,09:30:12,372,1446,3549.2844,2227.8076047,18272.2483808,0
30,2018-10-12,09:30:30,373,1447,3603.3623,2267.553286,18833.1001644,0
31,2018-10-12,09:30:49,374,1448,3621.4497,2267.575497,18477.7471354,0
32,2018-10-12,09:31:06,375,1449,3588.328,2245.5505405,18399.3957306,0
33,2018-10-12,09:31:23,375,1450,3604.017,2251.7406766,18604.5981185,0
34,2018-10-12,09:31:40,376,1451,3626.1047,2271.6207016,18500.9798856,0
35,2018-10-12,09:31:59,377,1452,3665.5251,2295.850223,18697.8716245,0
36,2018-10-12,09:32:16,377,1453,3626.1643,2270.9447541,18707.0952241,0
37,2018-10-12,09:32:33,378,1454,3633.2615,2282.7238201,18844.5621821,0
38,2018-10-12,09:32:50,379,1455,3653.579,2276.2622342,18806.5638959,0
39,2018-10-12,09:33:17,380,1456,3666.2656,2286.6662987,18563.3860573,0
40,2018-10-12,09:33:35,380,1457,3672.6116,2290.8007129,18784.8068266,0
41,2018-10-12,09:33:53,381,1458,3709.7395,2297.6761028,19125.9365738,0
42,2018-10-12,09:34:10,381,1459,3737.168,2327.5584036,18936.7798471,0
43,2018-10-12,09:34:27,382,1460,3721.0022,2326.3774542,19004.5884298,0
44,2018-10-12,09:34:44,383,1461,3709.8188,2308.1908776,19000.3860316,0
45,2018-10-12,09:35:02,384,1462,3722.3284,2318.5981816,19352.8061014,0
46,2018-10-12,09:35:20,384,1463,3780.506,2351.179146,19111.2300433,0
47,2018-10-12,09:35:37,385,1464,3770.5503,2338.9116982,19317.6757592,0
