date,diffuse,direct,ratio,time
2018-10-12,182.22802625335072,254.94814818087823,1.3990611291943924,12:19:40
2018-10-12,182.24392645203548,254.94649601528434,1.3989299999107698,12:20:00
2018-10-12,182.35622352860793,254.9452318916102,1.3980615904321716,12:20:18
2018-10-12,182.42776906974686,254.94538124737596,1.3975141095427404,12:20:36
2018-10-12,183.52329053909327,254.94299887486773,1.3891588262502355,12:21:01
2018-10-12,183.6370337825488,254.94538366947458,1.3883113793449995,12:21:18
2018-10-12,183.79846742632273,254.94807798096318,1.3871066584554705,12:21:35
2018-10-12,184.0339074032913,254.94695566976927,1.385325993818516,12:21:59
2018-10-12,184.22332665732776,254.94688970290318,1.3839012373125132,12:22:16
2018-10-12,184.3049405103397,254.94591010064096,1.383283103506052,12:22:34
2018-10-12,184.5165442633821,254.94795932490413,1.381707859003619,12:22:55
2018-10-12,184.62997365603394,254.9405270017105,1.3808187368139113,12:23:14
2018-10-12,184.74700562463423,254.93838649793125,1.3799324413187548,12:23:33
2018-10-12,184.6175379249685,254.94381291571125,1.3809295464622893,12:23:51
2018-10-12,184.67812849824762,254.9419894864537,1.3804666072781477,12:24:09
2018-10-12,184.5378867354696,254.9393528440715,1.3815014214914068,12:24:26
2018-10-12,184.39841371383366,254.9381465053709,1.382539802652572,12:24:47
2018-10-12,184.3579361814317,254.9311834587249,1.3828055831989794,12:25:05
2018-10-12,184.44129152447871,254.93927550697276,1.3822245192483793,12:25:22
2018-10-12,183.4864700070718,254.93180427523046,1.3893765805479013,12:25:41
2018-10-12,184.47859155343744,254.93712939774807,1.3819334116278803,12:25:58
2018-10-12,183.50865531421243,254.93094993591734,1.3892039560717842,12:26:18
2018-10-12,184.5915664105958,254.93903693167266,1.3810979661150913,12:26:41
2018-10-12,183.5455479260518,254.94171762894032,1.3889833913686271,12:27:04
2018-10-12,183.50598717373975,254.93818686913946,1.3892635918618237,12:27:21
2018-10-12,183.5148157619261,254.93869130137855,1.3891995054617863,12:27:39
2018-10-12,183.46499801222532,254.938510652213,1.3895757415004306,12:28:04
2018-10-12,183.40986325917794,254.94509309453792,1.3900293504623193,12:28:21
2018-10-12,183.47342448376517,254.94026297750358,1.3895214726319245,12:28:39
2018-10-12,183.53759249686692,254.93598616636115,1.3890123690639182,12:28:56
2018-10-12,182.50912626453368,254.93857366844819,1.3968538389632819,12:29:12
2018-10-12,182.46004948157355,254.93543440712935,1.3972123493963813,12:29:34
2018-10-12,182.58386268722464,254.9346628899057,1.3962606505188337,12:29:52
2018-10-12,182.63022544191494,254.93820713664056,1.3959256005940976,12:30:10
2018-10-12,182.74548468138914,254.9334849128772,1.395019337180043,12:30:28
2018-10-12,181.6568275118486,254.93945229297978,1.403412444139218,12:30:47
2018-10-12,181.74648347789585,254.94159252148512,1.4027319133934788,12:31:07
2018-10-12,181.8049011402821,254.94299871249657,1.402288921329907,12:31:30
2018-10-12,181.73601546175385,254.94629256077627,1.4028385728222892,12:31:47
2018-10-12,181.78135730039065,254.94002926430218,1.4024542068030554,12:32:04
2018-10-12,181.89802337971452,254.93389114266395,1.401520953366745,12:32:22
2018-10-12,182.1470036500317,254.93858708456207,1.3996309682611554,12:32:40
2018-10-12,182.18657024936346,254.94371510607752,1.3993551487199605,12:32:57
2018-10-12,182.682296279383,254.94487584072064,1.3955642174040976,12:33:22
2018-10-12,182.70573935556038,254.95024203276986,1.395414522455782,12:33:39
2018-10-12,183.5765316962874,254.94633006684404,1.3887740862684574,12:34:02
2018-10-12,183.30596123592315,254.93969719657267,1.3907878144151222,12:34:19
2018-10-12,183.16929779117004,254.9371683493778,1.3918116814534593,12:34:37
2018-10-12,183.1768484046157,254.9375796015556,1.391756555601552,12:34:54
2018-10-12,183.26401722855513,254.94158504466975,1.3911164280914072,12:35:12
2018-10-12,183.30659065355897,254.93825547910956,1.390775173823025,12:35:29
2018-10-12,183.33403387750914,254.94058657310993,1.3905797040578032,12:35:46
2018-10-12,183.4377272501877,254.9377206372412,1.3897780159995978,12:36:03
2018-10-12,183.50934983327653,254.9419376945986,1.3892585741610475,12:36:24
2018-10-12,183.82726565358166,254.94474022542454,1.3868711984535642,12:36:42
2018-10-12,184.05549092986897,254.95508105111765,1.3852076879807063,12:36:59
2018-10-12,184.40141814079757,254.9615162222936,1.3826440099697102,12:37:16
2018-10-12,184.69206627981532,254.96219311151685,1.380471821270545,12:37:34
2018-10-12,183.69498389737447,254.9576531461337,1.387940202485724,12:37:51
2018-10-12,183.28896617873926,254.94491618038228,1.39094524616264,12:38:12
2018-10-12,183.14601933955385,254.94453211230683,1.3920287922809729,12:38:29
2018-10-12,184.26900924000518,254.94437585232282,1.3835445086713685,12:38:47
2018-10-12,183.38053254248516,254.94414990258957,1.390246534721589,12:39:11
2018-10-12,183.74321497052583,254.94841571237342,1.3875256060653427,12:39:34
2018-10-12,184.16384216298246,254.95248558860746,1.3843786195716856,12:39:52
2018-10-12,184.34948512366458,254.9501030351142,1.3829716034416348,12:40:17
2018-10-12,184.5124254258231,254.95022062992516,1.3817509581890959,12:40:35
2018-10-12,184.5470341437229,254.94918235715681,1.3814862077848709,12:40:52
2018-10-12,184.9571725184537,254.9515890406577,1.3784358052684897,12:41:17
2018-10-12,185.0584993334625,254.9512306945119,1.3776791209957213,12:41:35
2018-10-12,185.66055138439967,254.95786107058692,1.373247354752874,12:41:53
2018-10-12,185.54787798974368,254.95735841812248,1.3740785460894114,12:42:10
2018-10-12,185.69685454448484,254.9542654435184,1.3729595262608099,12:42:31
2018-10-12,185.69063721743763,254.95445993018006,1.3730065433058791,12:42:50
2018-10-12,185.84677617670826,254.9533191970159,1.3718468753775919,12:43:10
2018-10-12,184.5689206424621,254.94721932795,1.381311753032469,12:43:27
2018-10-12,184.56203481635688,254.9479751213941,1.3813673834657962,12:43:51
2018-10-12,184.85841383292814,254.95871494997886,1.3792107681958483,12:44:13
2018-10-12,184.89404167483482,254.95541024171604,1.3789271300050605,12:44:30
2018-10-12,185.24667325715924,254.95326050015848,1.3762906292316117,12:44:51
2018-10-12,184.22702925077854,254.95190157908908,1.3839006285664874,12:45:08
2018-10-12,184.09359396573075,254.95655331476502,1.384928979996042,12:45:29
2018-10-12,183.6325915666989,254.94264797131567,1.3883300660096363,12:45:47
2018-10-12,183.6161388408156,254.94514664174824,1.388468073946216,12:46:05
2018-10-12,183.7316003313092,254.949380992046,1.3876185725934744,12:46:25
2018-10-12,183.61184285825075,254.93841617416246,1.3884639041010887,12:46:45
2018-10-12,182.46374979062827,254.9399971638246,1.3972090207307515,12:47:02
2018-10-12,182.39420070671338,254.93700363682024,1.3977253807907764,12:47:19
2018-10-12,183.32179751634268,254.94062598686114,1.3906727374530234,12:47:36
2018-10-12,183.26523738507547,254.9384853886603,1.3910902527192628,12:47:53
2018-10-12,183.46454530672682,254.93436148539976,1.3895565546966335,12:48:10
2018-10-12,183.38051101742215,254.9409584772172,1.3902292946113364,12:48:28
2018-10-12,183.10700369361982,254.9305145809866,1.3922488459673779,12:48:47
2018-10-12,183.01872928578183,254.93529918905085,1.3929465043491371,12:49:03
2018-10-12,182.9345374178568,254.9359623943681,1.3935912047709533,12:49:20
2018-10-12,182.84929512091054,254.94098372413052,1.3942683429845808,12:49:37
2018-10-12,182.8275004944224,254.9348114348985,1.3944007917051622,12:49:55
2018-10-12,182.86270318766393,254.93780721803031,1.3941487398685062,12:50:12
2018-10-12,182.81996648305284,254.93634940612327,1.3944666674564539,12:50:30
2018-10-12,182.92709738443705,254.93941394293154,1.3936667535217837,12:50:47
2018-10-12,182.73993065255615,254.93559819801854,1.3950733005515263,12:51:04
2018-10-12,183.70185126351458,254.93783150143966,1.3877804156461073,12:51:21
2018-10-12,183.6948520540323,254.94047067850198,1.3878476605512786,12:51:38
2018-10-12,183.53213158688305,254.9280840307519,1.3890106425864204,12:51:55
2018-10-12,183.43700776278166,254.93225117657312,1.3897536505079071,12:52:13
2018-10-12,183.46720503065018,254.9353269712073,1.3895416727399188,12:52:30
2018-10-12,184.05332273148326,254.93904779310975,1.385136894078474,12:52:47
2018-10-12,183.98021568578272,254.93449781659388,1.3856625663054607,12:53:04
2018-10-12,183.96450092918636,254.9346879412834,1.385781966920975,12:53:21
2018-10-12,183.9083147167468,254.94434903272503,1.3862578721651984,12:53:38
2018-10-12,183.7571446733837,254.94259816135406,1.38738876583274,12:53:57
2018-10-12,183.8033731155163,254.93538917780546,1.3870006020922383,12:54:14
2018-10-12,183.6385483120944,254.94016171328673,1.388271493412238,12:54:31
2018-10-12,183.37240750654473,254.93808367575645,1.3902750536045476,12:54:49
2018-10-12,183.2258355044451,254.94333275832327,1.3914158560468854,12:55:07
2018-10-12,183.19592107262264,254.9312011714309,1.3915768412243792,12:55:28
2018-10-12,183.14459213714164,254.93582185197053,1.3919920805582424,12:55:45
2018-10-12,183.17927622617032,254.93818803044007,1.3917414310321299,12:56:03
2018-10-12,183.30907580773453,254.9339598540146,1.3907328850504082,12:56:21
2018-10-12,183.38512134748146,254.93776725544282,1.3901769422852037,12:56:38
2018-10-12,183.42833481663686,254.9385624377723,1.3898537687354588,12:56:55
2018-10-12,183.48391980993506,254.9311205796944,1.3893921649579382,12:57:27
2018-10-12,183.54241213905527,254.937291587808,1.388983007342535,12:57:45
2018-10-12,183.524834417039,254.93994030441155,1.389130474435356,12:58:06
2018-10-12,183.58226239125892,254.9381505085118,1.3886861790883476,12:58:24
2018-10-12,184.02053929635238,254.93434118598333,1.3853580810098005,12:58:42
2018-10-12,184.0201247011911,254.93591867299008,1.3853697745665097,12:58:59
2018-10-12,184.01650747705852,254.9336014556067,1.385384414424828,12:59:18
2018-10-12,184.0809413162052,254.93582008412946,1.3849115408759956,12:59:36
2018-10-12,184.07534556990709,254.93755431681518,1.384963062421613,12:59:57
2018-10-12,184.13627647898446,254.93891836385419,1.3845121843383776,13:00:17
2018-10-12,184.20062259690022,254.94084654152672,1.3840390056630403,13:00:36
2018-10-12,184.16016725940892,254.945326247931,1.384367369132619,13:00:53
2018-10-12,182.95446308105676,254.9434631060118,1.3934804257443054,13:01:11
2018-10-12,182.9188253691119,254.93687796099746,1.3937159144038913,13:01:29
2018-10-12,182.85197190037994,254.93778609498125,1.3942304446892952,13:01:45
2018-10-12,182.94104008914144,254.94138541927634,1.393571312894315,13:02:03
2018-10-12,181.92652456744054,254.93731702645763,1.4013202177780946,13:02:20
2018-10-12,181.8413332345436,254.93659173004244,1.4019727374150885,13:02:37
2018-10-12,181.7391783924473,254.9297125652726,1.4027229286509582,13:02:57
