ratio,direct,diffuse
2.856009062293916,254.37348000281156,89.06606192576346
2.8142108456746646,254.36764266010834,90.38684612102244
2.7807000630497063,254.36579356846474,91.4754514334392
2.7398531545696296,254.34082673054482,92.83009430864777
2.721105372342028,254.40321466125883,93.49259945868856
2.710168939997202,254.25506981137644,93.81521057932238
2.664260183557995,254.41210573142382,95.4907134451367
2.6282715563750094,254.42220888027728,96.80210108546926
2.5453980440920554,254.47619882747907,99.97501153822519
2.5619281530159923,254.44551226622525,99.31797344382316
2.5334555560544434,254.37505153694627,100.4063603677758
2.5338946185699385,254.3042471389707,100.36101946595282
2.513457823921756,254.35717066839715,101.19810575198866
2.4861764609566235,253.63803419630926,102.01932090480624
2.4692850882560973,253.76843264224533,102.77000166937638
2.4580834163579746,253.7704060969773,103.23913517669668
2.4425035748013904,253.97486842344884,103.98137019885448
2.425875289394292,254.04573707655652,104.72332942555686
2.4024730133176386,254.0970488267207,105.76478795731877
2.390973090952767,254.1148158280096,106.28091833804314
2.3689633805178,254.039798978682,107.23669309027261
2.363188945067051,254.01379799731924,107.48772269248751
2.3681165737612204,253.91222594397075,107.22116839910812
2.3290069803278493,253.89575689295555,109.0145967949032
2.3047746769134188,254.1176787064503,110.25705950864042
2.3074849259344794,253.87227400568392,110.02120583859129
2.3127643943855123,253.71879502681185,109.7036929670579
2.297435027040583,253.9221733385605,110.52420214279039
2.3111567365439196,253.69709326793307,109.77061367430628
2.289843121389049,253.78414541055147,110.83036346027176
2.24858927073548,253.69075395160164,112.82218467075722
2.2510460223727566,253.65858656258712,112.68476256883172
2.2171468586169434,253.83445440956652,114.48698286405282
2.245449039153952,253.8127714859385,113.03430496982953
2.2353312286882945,253.7728641911192,113.5280807310309
2.2583586425096223,253.7958125723489,112.38065017446296
2.242450368478009,253.79132672821999,113.17589468010064
2.2505655542357927,253.7612767441281,112.75444799487117
2.218129894607561,253.71583611290885,114.38276754202309
2.2056423363343267,254.03075338434374,115.17313990559813
2.197349209047932,253.87813930773456,115.53836698434245
2.191587609032756,253.7412222025898,115.77963899630595
2.184931291997096,253.72819547528562,116.1263955551527
2.1920258950873777,253.89272599997543,115.82560523987554
2.1848401074307415,253.65061536623253,116.09573373518508
2.187202511195662,253.68866553346635,115.98773512507731
2.1762461703787794,253.6107315328206,116.53586574200806
2.151568240040465,253.65673588830518,117.8938837113224
2.1839780449590878,253.43782687718692,116.04412757818476
2.1491580071839698,253.62154473984276,118.00972468848938
2.1212963747747984,253.62385342540983,119.56078200168287
2.089046276759022,253.7960820674264,121.4889707762575
2.089524881934109,253.7504945544662,121.43932658968356
2.1025981120542885,253.68368748394877,120.65248514662355
2.092686898948033,253.59138730083555,121.1798035474455
2.071324213290778,253.88021523178807,122.56903752814272
2.0716267710864344,253.63233839737862,122.43148328516956
2.079036996605877,253.68165642557184,122.01882738966106
2.076976460462358,253.65071893956414,122.12498493271256
2.0652039143801018,253.74974303367105,122.86909842984556
2.062333725195316,253.63245899476715,122.98322812460749
2.0663634210853834,253.719064690704,122.78530586717163
2.076610452480201,253.76331736189402,122.20073199516628
2.0760971477304535,253.78805894858215,122.24286287663273
2.089307956146148,253.80078713678992,121.47600663185167
2.061910590858834,253.84977940385235,123.11386368024715
2.079403143968365,253.87354761904763,122.08962382087749
2.07693268033666,253.71518053669274,122.15859615419352
2.073827858644746,253.7947284064719,122.37984331656519
2.051714065928488,253.95342456511227,123.77622631845024
2.0495428933691566,253.99871803755804,123.92944732179785
2.045716029869658,253.88552915766738,124.10594894436234
2.0419863303278327,253.96973071104387,124.37386428060469
2.0471341913298327,253.8823558464008,124.01842386379032
2.052930305160119,253.88869108383338,123.67136402325711
2.0473368230183495,254.0580881321046,124.09198392551335
2.0689809685967218,253.97567811273854,122.75399434195693
2.06857768787876,253.84198283825444,122.71329441755644
2.073880269425379,253.89244422732455,122.42386793991338
2.0815002993413887,253.89522113727742,121.97702840475829
2.0607741948574554,254.0601190613535,123.28382201958179
2.0769603739939115,253.94668954636018,122.2684326220586
2.070527370969066,254.1383847081109,122.74089600137326
2.100050824768197,253.97664747651427,120.93833372082705
2.101387077645263,253.95561449046383,120.85142104092367
2.0953418107944097,253.98301990769443,121.21316846696315
2.0850864796001614,254.0501076619415,121.8415207942159
2.0842107080516037,254.19560716640257,121.9625281572581
2.0786317057388097,254.02088161807103,122.20581496796913
2.0780924970159003,254.0904777150175,122.27101444227647
2.0488867974373215,254.1348712060587,124.03558435923449
2.0372187840093012,254.1303646226739,124.7437764747773
2.0082052115979274,254.0626233464527,126.51228165287712
1.997136633948921,254.19860870323728,127.28153115924401
1.9695865032325575,254.1440653408176,129.03422364222493
1.9604991708174588,254.2500335927729,129.68637649908294
1.9832583222991935,254.11265693568924,128.12887462945127
1.9782336893179848,254.22521674510776,128.51121589823614
1.9300422966033475,254.24592505546383,131.730753001065
1.9326878737534305,254.21897686625607,131.53648880330738
1.9323467090878108,254.27380613310547,131.5880866188546
1.9422177529821518,254.14465924664646,130.8528144470019
1.9737810050196776,254.19136756654333,128.78397700661284
1.9514886198161445,254.17805639476333,130.2482903634407
1.955391188770231,254.14278904615983,129.9703049219493
1.9750431295336701,254.17156477899377,128.69165284456676
1.9655600249248355,254.2730864552279,129.3641930192142
1.9626213219166706,254.12570850765792,129.48280224505154
1.997123082689337,254.1610277674667,127.2635772779773
1.996918517169335,254.26554634429328,127.32895416519993
1.974512800274503,254.1987167835981,128.73996904363375
2.0093471120320503,254.23224219763864,126.52480035693479
1.98107605152997,254.2786958504332,128.35382854386418
