ratio,direct,diffuse
3.7567739690394637,244.33141321044548,65.03756021097975
3.6325411856082908,239.3301664670164,65.88505242974668
3.572079953951374,240.57918055283278,67.3498868038237
3.5933168323437408,246.10174464090127,68.48874066036126
3.549205118021692,245.8856371170638,69.27907205715941
3.4174469302491457,240.88391230809265,70.48651148784079
3.437150191732157,246.23874067937035,71.64037849485942
3.3865504006600444,245.7574421168688,72.56866517296487
3.2716491533463534,247.2882558173063,75.58520007084851
3.327421020178834,246.46778139119925,74.07171496979745
3.2711017962078013,247.25214211951211,75.58680760291602
3.2181064053902366,247.3956960215993,76.8761702867309
3.228538399286362,247.22614675314526,76.57525362182227
3.157404795674521,246.45949329798202,78.05761669698437
3.1420866105120364,247.28785695092458,78.70179520946635
3.121239251041992,247.16793125514215,79.18903723020522
3.12324684324783,248.41539419661393,79.5375475152292
3.064886362187617,247.55440065966496,80.77115148992625
3.0045157612420312,243.7261610162501,81.11994756702377
2.9909900875891418,244.01536273685053,81.58347423128264
2.9424027841705125,244.37458340474967,83.05272980281008
2.9229417812145857,244.56371802822724,83.6704034271262
2.881638423303696,244.94073898539892,85.0005111691227
2.888303692050881,245.33650016965194,84.94137955259382
2.889903258639008,245.55789158852195,84.97097293982317
2.908764460653001,245.8570858698857,84.52285813980696
2.8840124434523076,245.63547952132143,85.17143540035612
2.848121011149307,246.15249023826598,86.4262751739385
2.853652953972943,246.47387881299207,86.37135727028179
2.783176132334,246.95918842559533,88.73286370794393
2.8271362930554824,246.77075605623483,87.28647312207667
2.794180314998924,246.51044447704268,88.22281194731615
2.7953853234708137,246.58180147058823,88.21030839656362
2.7851578980453904,246.22254803273665,88.4052384267098
2.7217811888648344,245.3373122563027,90.13851416859298
2.7067544281591953,246.1130950793439,90.92553521625531
2.677291811442778,246.95765022077174,92.24158874474261
2.7172924347872565,245.50754510522432,90.35006389529279
2.6740448096468765,246.25417430258602,92.09051898240455
2.5962608834208876,246.1210762873644,94.79828389320804
2.655162116103153,245.8034053460271,92.5756675478559
2.6445270100682117,244.03198895549158,92.27812309211285
2.602851955987871,244.86789309770407,94.07676550115904
2.686418626203523,244.97832940707664,91.19142006295675
2.6459235662748757,244.46679496109846,92.39374790605787
2.616136183361777,244.76317809007625,93.55903551456241
2.627396809243784,244.45835712636836,93.0420392786913
2.5877233860989253,243.89002802428772,94.24887889271645
2.547250677279641,244.44019635946682,95.96236386931454
2.4155703837851656,244.44530541012216,101.19568738339957
2.2430027268277164,244.93310670139903,109.1987556554639
2.1551220585984066,245.36917593232963,113.85395780873152
2.188448970186008,245.92618768819003,112.37465028361498
2.1643495730648694,245.25719514544403,113.31681268019139
2.230520014024903,245.080208002095,109.8758166082785
2.300785904797211,246.1655134961181,106.99192522992048
2.4011015955896666,245.56285233322893,102.27091297772563
2.4233332304771116,245.85296365988475,101.45239646281772
2.335958001630364,246.1826002534991,105.38828184482675
2.2721097930204666,246.14486557152196,108.33317400754004
2.2387634930575726,246.02269371091035,109.89222152041926
2.200395781966174,245.8475035235886,111.72876513329362
2.1794610885345413,246.82015672195288,113.24825114813751
2.1521585099615357,248.80749583324314,115.60835072398545
2.2403763609397065,247.92031390270228,110.66011864127786
2.223073814300805,249.76071748310477,112.34926878109931
2.059367427049808,249.03144286601176,120.92618325170231
2.00301882608459,250.637558105167,125.12990633997279
1.9816324260975278,250.10571794666453,126.21196274992492
1.892058656066375,251.36545765152692,132.85288849031792
1.8741334871060533,251.5519993072532,134.22309618707453
1.819322635239751,252.0346188850967,138.53211849468553
1.7359410488713485,252.3823662124357,145.3864843950354
1.7067448575501776,252.0880454416041,147.7010722056286
1.6868322363048978,252.84621526946003,149.89410910437311
1.6742641903832856,252.90101622476777,151.05203687529846
1.6724549004566358,253.61427629085907,151.6419224348674
1.695058402872574,253.77262805009983,149.71320611728632
1.678205733333881,253.85678107865309,151.26678215688588
1.7543509613970252,253.62937549048118,144.57162852324086
1.8517081591528963,252.192558288552,136.19454936350385
1.8161039626663522,250.3319486419991,137.84009824771752
1.6431699178264398,252.29669094958277,153.5426666545338
1.4790132555680398,252.49335054348307,170.71743582616423
1.4288156083847414,253.91858042252386,177.71263060989074
1.4369821849241209,253.9011543589536,176.6905373098698
1.5431885647649524,253.77396892273202,164.44780289140172
1.5337983154446326,251.9426919512469,164.26063936457726
1.4484871938502937,251.75212799687813,173.80348895435083
1.5137950733732026,253.60012708881473,167.52606184912162
1.5789324506408797,253.06693339817414,160.27723877323297
1.6719563755139786,252.92696378842194,151.2760545027195
1.8309081986840767,252.21553122616643,137.75432946744166
1.8587347211985066,252.0862231762916,135.6224857163841
1.7620327454398625,250.78298379964056,142.32594964461725
1.6978327192399403,250.82578898713984,147.73292218059368
1.6804902604961256,248.8532207970791,148.08370309960083
1.6467761811355277,248.71888163558816,151.03381047452672
1.5156216114849494,250.996374215246,165.6062254016879
1.44167423963255,251.25954991705703,174.28316537104624
1.4128534182765842,251.3527833461199,177.90436013717763
1.408237562389906,252.57109557615468,179.352619417081
1.4196916453246227,253.10344682895513,178.28057780186572
1.4058444622167305,252.5811909820033,179.66510362300974
1.4635295119408573,251.9357000979757,172.14254857346305
1.450169098425062,252.75503090706096,174.29348838115666
1.4421484319941396,253.77309054328,175.96877333380567
1.4277216874587046,253.6866895800043,177.68637389795336
1.4195368099758887,252.8631622678727,178.1307539831726
1.4247755472441381,252.8002928563553,177.4316616714348
1.4143823152124095,252.72083649411792,178.679296096943
1.3889327358806323,252.83827890324275,182.03781390675798
1.3244434899962174,251.86029011450088,190.16310776326154
