date,diffuse,direct,ratio,time
2018-10-12,181.0348895808107,249.83866710994042,1.3800581075197493,09:20:13
2018-10-12,181.21712906143247,249.8925049759181,1.3789673540805556,09:20:30
2018-10-12,181.41918592431372,249.81776294160787,1.3770195344489604,09:20:52
2018-10-12,182.23750906727835,249.96712622457792,1.37165574476929,09:21:12
2018-10-12,182.30376158313376,249.951564747847,1.3710718998733584,09:21:29
2018-10-12,182.37835172933146,249.8893957463725,1.3701702717284916,09:21:47
2018-10-12,182.45063982344132,249.88867801435265,1.3696234677837884,09:22:08
2018-10-12,182.4331683332454,249.96657067672905,1.3701816010788255,09:22:25
2018-10-12,183.23670938518717,249.83947756169437,1.3634793944945802,09:22:42
2018-10-12,183.24184812144748,249.9354991272465,1.3639651732916183,09:23:09
2018-10-12,183.31459573069472,250.03511468259197,1.3639673026904828,09:23:30
2018-10-12,183.38332881166917,249.9219005608787,1.3628387170217815,09:23:48
2018-10-12,183.4412123228548,250.05500282399964,1.3631342687809171,09:24:07
2018-10-12,183.5458158980134,249.98507263188546,1.3619764166718398,09:24:28
2018-10-12,183.66928280954255,249.99784870993517,1.3611304235840709,09:24:48
2018-10-12,183.7903882464773,250.155059256811,1.361088910271703,09:25:10
2018-10-12,183.83860580938705,250.03287855486735,1.360067312597626,09:25:36
2018-10-12,183.93720565692257,250.17753735188046,1.3601247037454105,09:25:53
2018-10-12,183.92927608485496,250.14193623894013,1.3599897828311913,09:26:13
2018-10-12,184.06286538200393,250.14903819269696,1.3590413127250727,09:26:38
2018-10-12,184.16606313237756,250.1992656115643,1.3585525006945631,09:27:08
2018-10-12,184.33578291598457,250.2694633477963,1.3576824824177658,09:27:36
2018-10-12,183.79245314025317,250.20013436189683,1.3613188685770876,09:27:53
2018-10-12,183.86783642085203,250.32067828106852,1.361416347490562,09:28:11
2018-10-12,183.3180467994775,250.26326729910716,1.3651861978043969,09:28:32
2018-10-12,182.68773547154277,250.3001010950388,1.3700980005525767,09:28:51
2018-10-12,182.8102940214043,250.22704415285168,1.3687798353606602,09:29:16
2018-10-12,182.93309811238942,250.32759135716418,1.3684106044241886,09:29:33
2018-10-12,182.23876783662183,250.42847458604973,1.3741778303207164,09:29:52
2018-10-12,182.28476785487757,250.25782432090574,1.3728948790726363,09:30:12
2018-10-12,181.5617928289839,250.3152222347359,1.3786778503036266,09:30:30
2018-10-12,181.59256781983328,250.15661032668814,1.3775707526471048,09:30:49
2018-10-12,181.65376007233021,250.2183165467626,1.3774463927811436,09:31:06
2018-10-12,180.93958421568405,250.16628239958882,1.3825956519353166,09:31:23
2018-10-12,181.0090684368003,250.13600323388172,1.3818976330526624,09:31:40
2018-10-12,181.12314353045917,250.19823889107448,1.3813708950397003,09:31:59
2018-10-12,181.15987247612603,250.16949021353173,1.3809321390778748,09:32:16
2018-10-12,181.2695812098114,250.21763232931437,1.380361948537293,09:32:33
2018-10-12,180.6071595786638,250.10203932354145,1.3847847444531067,09:32:50
2018-10-12,180.68428211588355,250.1750364498344,1.3845976723607996,09:33:17
2018-10-12,180.78236901813696,250.15038507137555,1.3837100732222358,09:33:35
2018-10-12,180.85769670109667,250.21052960129845,1.3834663061911108,09:33:53
2018-10-12,180.9340499981693,250.0581013945102,1.3820400383291056,09:34:10
2018-10-12,180.34239700942513,250.1067388647309,1.3868438204891982,09:34:27
2018-10-12,180.44793910393267,250.10625198869937,1.3860299720278078,09:34:44
2018-10-12,180.56295997100815,250.03929595550963,1.3847762353677457,09:35:02
2018-10-12,180.708572964009,250.16938272075282,1.384380268281893,09:35:20
2018-10-12,180.7179541217803,250.1037218833397,1.3839450711953192,09:35:37
2018-10-12,180.78345721852517,250.11784116357688,1.3835217282145598,09:35:56
2018-10-12,180.17435718832743,250.16275724025772,1.388448174002779,09:36:14
2018-10-12,180.20083568254327,250.20338069644464,1.3884695914353231,09:36:31
2018-10-12,180.29464741596558,250.21855566893205,1.3878313042296924,09:36:50
2018-10-12,180.3838066531453,250.18566027934895,1.3869629703536723,09:37:07
2018-10-12,180.44196754717112,250.15017064846415,1.3863192363110868,09:37:30
2018-10-12,180.4991856684568,250.0630813606999,1.3853972827335574,09:37:51
2018-10-12,180.45955781659836,250.12653548626506,1.386053132971042,09:38:09
2018-10-12,180.5053734300347,250.05463798595716,1.3853030147209457,09:38:26
2018-10-12,179.8473046468663,250.17916166978026,1.3910642817862182,09:38:42
2018-10-12,179.9222304934747,250.1783865216106,1.390480686213391,09:38:59
2018-10-12,179.9908677484139,250.20824581068734,1.3901163372378498,09:39:16
2018-10-12,180.2273178469523,250.22634454586668,1.3883929891158733,09:39:33
2018-10-12,180.3849460431188,250.22141278924644,1.387152410874875,09:39:51
2018-10-12,180.69248990069642,250.34209866582796,1.3854593447874288,09:40:09
2018-10-12,181.0040106512472,250.42367308170697,1.3835255483051996,09:40:27
2018-10-12,181.26722086974172,250.45597364753579,1.3816947843400378,09:40:44
2018-10-12,180.70466134215332,250.23991985401327,1.3848005801034604,09:41:03
2018-10-12,180.7383896175785,250.41135002571826,1.3854906561664055,09:41:22
2018-10-12,180.61147037065012,250.3486750156945,1.3861172521431224,09:41:39
2018-10-12,180.68759362513046,250.18011981927108,1.3846004299460406,09:41:56
2018-10-12,180.80201517682025,250.40649679086286,1.3849762489979496,09:42:13
2018-10-12,180.98717589814987,250.45630335480863,1.3838345292251666,09:42:30
2018-10-12,181.02041325282934,250.25271975284488,1.3824557974205898,09:42:47
2018-10-12,180.25288278906598,250.3650824677017,1.3889657607345,09:43:05
