date,time,ratio,direct,diffuse
2018-10-12,11:50:34,1.3724668314753927,254.89189966360206,185.71807625368618
2018-10-12,11:50:51,1.3728744835159223,254.86923827743723,185.64642386295856
2018-10-12,11:51:09,1.3722048238806992,254.86551874621975,185.73431189772438
2018-10-12,11:51:27,1.3806133603703803,254.87946451282173,184.61321020712464
2018-10-12,11:51:49,1.3791251527876238,254.89573765396122,184.82422508119788
2018-10-12,11:52:06,1.3807187925830093,254.89449131127785,184.6099963877717
2018-10-12,11:52:23,1.3816608934415477,254.8998515921167,184.4879975991739
2018-10-12,11:52:40,1.3749439884895047,254.90359024375826,185.3919813299391
2018-10-12,11:52:57,1.371726689214223,254.90040788205502,185.82448667530966
2018-10-12,11:53:19,1.3699181206747355,254.90109522925562,186.0703142635323
2018-10-12,11:53:37,1.372251976503643,254.90757853088542,185.75857998059783
2018-10-12,11:53:54,1.3758798931245815,254.897645339517,185.26155270766563
2018-10-12,11:54:12,1.3824144331746242,254.89756411280962,184.38578041134457
2018-10-12,11:54:28,1.3834455701107375,254.89837778727565,184.24893851579023
2018-10-12,11:54:46,1.385604267404199,254.8994619948654,183.9626710102415
2018-10-12,11:55:06,1.3861709048985256,254.8952235904338,183.8844133069532
2018-10-12,11:55:23,1.3874975746982194,254.8961655141823,183.7092692357478
2018-10-12,11:55:41,1.38692557299201,254.89245011443987,183.7823565143162
2018-10-12,11:55:59,1.3926417424415554,254.89788853170393,183.03191751585828
2018-10-12,11:56:16,1.390459302211412,254.8928768396836,183.31559682063136
2018-10-12,11:56:34,1.3898597798499508,254.88793802677827,183.3911173789747
2018-10-12,11:56:51,1.3895459768193814,254.892202033909,183.43560147419353
2018-10-12,11:57:26,1.3878508034013237,254.8974910538378,183.66346759258192
2018-10-12,11:57:46,1.3895416191688243,254.89486827116804,183.43809552364277
2018-10-12,11:58:05,1.390569708705038,254.90043084965185,183.30647450031597
2018-10-12,11:58:24,1.3907564879779848,254.8937922966309,183.27708301200877
2018-10-12,11:58:41,1.3917680551879668,254.89533187007223,183.1449794525188
2018-10-12,11:58:59,1.3939229513169873,254.89813523553295,182.86386273696374
2018-10-12,11:59:16,1.3948579674498647,254.8926502772704,182.73735120377552
2018-10-12,11:59:33,1.3879415190698392,254.89525620971276,183.6498531872846
2018-10-12,11:59:50,1.3876117129494248,254.8968206286648,183.694630313311
2018-10-12,12:00:07,1.3892060787228402,254.89316618548753,183.48117683146214
2018-10-12,12:00:25,1.3895155797168548,254.88914252760324,183.4374124682666
2018-10-12,12:00:43,1.3867559934326186,254.89092869183426,183.80373324430792
2018-10-12,12:01:00,1.3826158776060615,254.88524331463663,184.3500045406387
2018-10-12,12:01:20,1.381924622342319,254.91426226548265,184.46321756204833
2018-10-12,12:01:37,1.381580329106712,254.91610388934433,184.51051923572578
2018-10-12,12:01:56,1.383004473531928,254.90434370536033,184.31201676042562
2018-10-12,12:02:14,1.3850909305960584,254.90161162167672,184.0324024878155
2018-10-12,12:02:31,1.3865464189434988,254.8861220525549,183.82804828616517
2018-10-12,12:02:50,1.3868928331510375,254.88999864138347,183.78492739216935
2018-10-12,12:03:06,1.3876985870934182,254.89247086043915,183.6799959523776
2018-10-12,12:03:25,1.3872479016719577,254.89430204970634,183.74098943851288
2018-10-12,12:03:42,1.3850178088425886,254.90208771479865,184.0424621888519
2018-10-12,12:03:59,1.3826971735069242,254.91724300766379,184.36230860378424
2018-10-12,12:04:16,1.3824343188788042,254.922806948875,184.4013878038163
2018-10-12,12:04:33,1.3822160682551203,254.92356095425694,184.43105011510025
2018-10-12,12:04:51,1.3820940891776643,254.92124640632105,184.44565272542138
2018-10-12,12:05:07,1.3838378712391213,254.91686332462072,184.2100643598965
2018-10-12,12:05:33,1.3858864788687684,254.90929963968824,183.93230868935115
2018-10-12,12:05:51,1.3863740543066898,254.90035513215284,183.8611696030518
2018-10-12,12:06:09,1.3873123235163975,254.9052643398386,183.74035897968128
2018-10-12,12:06:26,1.3887522193964161,254.89446012088933,183.54207220037594
2018-10-12,12:06:43,1.3881186221427093,254.89538114681477,183.62651223089028
2018-10-12,12:07:00,1.388287291073839,254.8789752549084,183.59238530359212
2018-10-12,12:07:20,1.3958000686061152,254.8904807911335,182.61245756039708
2018-10-12,12:07:43,1.3936679192771815,254.8873212590681,182.88956625425092
2018-10-12,12:08:02,1.393720804671298,254.89453620367337,182.88780317359826
2018-10-12,12:08:20,1.3943419217729383,254.8853108026554,182.7997185070379
2018-10-12,12:08:37,1.4010812787256035,254.8880437911904,181.922382135483
2018-10-12,12:08:54,1.4003879386076998,254.88898410352365,182.01312441818126
2018-10-12,12:09:12,1.4003206819214749,254.885676053768,182.0195040638992
2018-10-12,12:09:29,1.3999246604473339,254.88377649479594,182.0696382427823
2018-10-12,12:09:47,1.4001918862943803,254.88335182770268,182.03458706095893
2018-10-12,12:10:04,1.4000930540952832,254.88151614221496,182.0461257176332
2018-10-12,12:10:21,1.4001279403745375,254.87943295025565,182.04010190816905
2018-10-12,12:10:40,1.3993828603029428,254.88262982794683,182.1393108764881
2018-10-12,12:10:57,1.399036973566309,254.88023990465328,182.1826332830459
2018-10-12,12:11:14,1.3988331367934255,254.88766190669892,182.21448663346885
2018-10-12,12:11:30,1.398560881646814,254.88074016291768,182.24500878559826
2018-10-12,12:11:48,1.3982051564098754,254.87400683941,182.2865590725194
2018-10-12,12:12:06,1.4069860923767488,254.88074956674316,181.1537092994191
2018-10-12,12:12:23,1.407155111663806,254.86995714433237,181.12428049454812
2018-10-12,12:12:40,1.4065145595526343,254.8812806609863,181.21481852420754
2018-10-12,12:12:57,1.4058169430422758,254.88054224279605,181.30421852166515
2018-10-12,12:13:14,1.405643614191495,254.87602572059026,181.3233618730528
2018-10-12,12:13:31,1.4052303295873398,254.88282487476337,181.38152835742758
2018-10-12,12:13:48,1.4048803575386974,254.89266358285724,181.43371584283554
2018-10-12,12:14:05,1.405243081382776,254.88805797051648,181.38360640046957
2018-10-12,12:14:22,1.4055873974691167,254.88657535897005,181.3381194352736
2018-10-12,12:14:39,1.405994083646999,254.88313789093843,181.28322220944108
2018-10-12,12:14:58,1.406076991742724,254.87991794678533,181.27024298355192
2018-10-12,12:15:15,1.4070151865224185,254.8783627675401,181.1482670613513
2018-10-12,12:15:33,1.4068869496162428,254.88052138279048,181.16631293816064
2018-10-12,12:15:50,1.4055981031937022,254.8855790515765,181.33602946136827
2018-10-12,12:16:07,1.4041769333765937,254.88300137099452,181.51772423585035
2018-10-12,12:16:24,1.402890925822383,254.88024343456635,181.68215271985886
2018-10-12,12:16:42,1.4091037382396419,254.8772629124201,180.8789913727941
2018-10-12,12:16:59,1.4076911486174883,254.8782612401449,181.06120898072288
2018-10-12,12:17:15,1.4078229900439059,254.88160142738116,181.04662534274436
2018-10-12,12:17:32,1.4085431910761792,254.8876662351418,180.95836027605102
2018-10-12,12:17:49,1.4093644941899819,254.88483936040194,180.8509015312568
2018-10-12,12:18:07,1.4095657745430965,254.88645865593062,180.82622553640732
2018-10-12,12:18:24,1.4096383503548469,254.88667874311992,180.81707175387044
2018-10-12,12:18:42,1.4095524613637567,254.89118553071643,180.83128689237049
2018-10-12,12:18:59,1.400643926547991,254.88445379971068,181.97662444294147
2018-10-12,12:19:16,1.4000048688075175,254.88204047910511,182.057967195647
2018-10-12,12:19:40,1.398739774783318,254.88958840082034,182.22802625335072
2018-10-12,12:20:00,1.3985863629590283,254.88387026792495,182.24392645203548
2018-10-12,12:20:18,1.397738948696201,254.8863961630859,182.35622352860793
2018-10-12,12:20:36,1.3971928022165676,254.8867658686765,182.42776906974686
2018-10-12,12:21:01,1.3888239619060354,254.88154346853594,183.52329053909327
2018-10-12,12:21:18,1.3879873904167106,254.88588730370523,183.6370337825488
2018-10-12,12:21:35,1.3867901303741148,254.88990060471258,183.79846742632273
2018-10-12,12:21:59,1.3850075888261746,254.88835835489195,184.0339074032913
2018-10-12,12:22:16,1.3835610289981644,254.88421539547736,184.22332665732776
2018-10-12,12:22:34,1.3829355710613052,254.8818581540865,184.3049405103397
2018-10-12,12:22:55,1.3813873981117397,254.88882898856303,184.5165442633821
2018-10-12,12:23:14,1.3805020575577893,254.88205851899528,184.62997365603394
2018-10-12,12:23:33,1.3796307634384022,254.8826524128729,184.74700562463423
2018-10-12,12:23:51,1.380618734927935,254.8864316554801,184.6175379249685
2018-10-12,12:24:09,1.38014819996855,254.88318662041704,184.67812849824762
2018-10-12,12:24:26,1.3811754696899594,254.87920238745477,184.5378867354696
2018-10-12,12:24:47,1.3822196730242002,254.87911510971637,184.39841371383366
2018-10-12,12:25:05,1.3824630965925828,254.86804333479984,184.3579361814317
2018-10-12,12:25:22,1.3818925676811922,254.87804993119718,184.44129152447871
2018-10-12,12:25:41,1.3890562751587043,254.87303257004248,183.4864700070718
2018-10-12,12:25:58,1.3816251650599969,254.88026450505376,184.47859155343744
2018-10-12,12:26:18,1.388885147961018,254.8724458882074,183.50865531421243
2018-10-12,12:26:41,1.3807848952228394,254.8812466852743,184.5915664105958
2018-10-12,12:27:04,1.38866642310805,254.88353951587752,183.5455479260518
2018-10-12,12:27:21,1.3889323231183337,254.87739707134548,183.50598717373975
2018-10-12,12:27:39,1.3888754006631157,254.87921326896296,183.5148157619261
2018-10-12,12:28:04,1.3892451212555954,254.87785340965155,183.46499801222532
2018-10-12,12:28:21,1.3897063925765982,254.88585943287933,183.40986325917794
2018-10-12,12:28:39,1.3891968692962615,254.88070689191062,183.47342448376517
2018-10-12,12:28:56,1.3886588659638215,254.8711050584292,183.53759249686692
2018-10-12,12:29:12,1.3964974469959752,254.87352888188738,182.50912626453368
2018-10-12,12:29:34,1.3968512608255526,254.86955016862873,182.46004948157355
2018-10-12,12:29:52,1.3959229286269785,254.87300032237673,182.58386268722464
2018-10-12,12:30:10,1.395589444371614,254.87681484994468,182.63022544191494
2018-10-12,12:30:28,1.394667437467752,254.86917682939531,182.74548468138914
2018-10-12,12:30:47,1.4030733605181644,254.87785543811796,181.6568275118486
