####################################################################### 
# Datet Time: 20180605 Camera ID: 1 Softwareversion: 2.  
####################################################################### 
# sun_x, sun_y: position in pixels of sun.  
# lum_hdr:      luminance from HDR image  
# lum_hdr_m:    luminance from masked HDR image  
# lum_jpg_m:    luminance from masked and tone mapped HDR image  
# lum_sqrcrpt:  luminance from cropped square of low_LDR image  
####################################################################### 
no,date,time,sun_x,sun_y,lum_hdr,lum_hdr_m,lum_jpg_m,lum_sqrcrpt 
0,2018-06-05,09:00:03,0,0,15325.688,13831.6436362,99466.5379,0
1,2018-06-05,09:00:26,0,0,14886.424,13398.7633276,102679.2092193,0
2,2018-06-05,09:00:49,0,0,14770.007,13281.5496564,104944.2647644,0
3,2018-06-05,09:01:11,0,0,14467.708,12983.9729502,100442.6659712,0
4,2018-06-05,09:01:34,0,0,14193.949,12720.6937409,99236.7857774,0
5,2018-06-05,09:01:57,0,0,14166.07,12686.4744529,97583.3877156,0
6,2018-06-05,09:02:20,0,0,13952.232,12493.502639,96842.4671574,0
7,2018-06-05,09:02:43,0,0,13925.507,12457.6747141,96820.3617875,0
8,2018-06-05,09:03:06,0,0,13657.948,12210.9175797,92069.2894418,0
9,2018-06-05,09:03:28,0,0,13441.515,12000.5617981,89121.8404356,0
10,2018-06-05,09:03:53,0,0,13294.162,11847.8049414,84960.3385324,0
11,2018-06-05,09:04:17,0,0,12919.075,11494.7794849,81379.3619912,0
12,2018-06-05,09:04:42,0,0,12798.872,11368.9599828,81219.2724463,0
13,2018-06-05,09:05:05,0,0,12774.916,11339.2980102,79249.1330415,0
14,2018-06-05,09:05:27,0,0,12603.564,11185.971658,79052.060979,0
15,2018-06-05,09:05:50,0,0,12896.589,11442.6311616,79294.2613007,0
16,2018-06-05,09:06:23,0,0,12912.534,11458.8828283,80928.130974,0
17,2018-06-05,09:06:46,0,0,12870.646,11427.0801948,81884.0871549,0
18,2018-06-05,09:07:09,0,0,12894.461,11441.5038793,80707.3013079,0
19,2018-06-05,09:07:34,0,0,12934.558,11486.4347817,79845.7200491,0
20,2018-06-05,09:07:56,0,0,12961.379,11512.7713286,81252.1301835,0
21,2018-06-05,09:08:19,0,0,12987.54,11549.4519489,82633.8542527,0
22,2018-06-05,09:08:42,0,0,12864.66,11444.3235259,82986.9077726,0
23,2018-06-05,09:09:05,0,0,13118.085,11667.4322722,83593.5122593,0
24,2018-06-05,09:09:28,0,0,13037.04,11603.2166563,82822.8676166,0
25,2018-06-05,09:09:50,0,0,12987.757,11548.964113,82448.058497,0
26,2018-06-05,09:10:13,0,0,13009.161,11566.5582462,80983.4197158,0
27,2018-06-05,09:10:36,0,0,12856.359,11428.0632121,78825.3452687,0
28,2018-06-05,09:10:59,0,0,13072.38,11624.6410871,77113.9503467,0
29,2018-06-05,09:11:22,0,0,12926.299,11505.2236952,78356.8179786,0
