####################################################################### 
# Datet Time: 20180605 Camera ID: 2 Softwareversion: 2.  
####################################################################### 
# sun_x, sun_y: position in pixels of sun.  
# lum_hdr:      luminance from HDR image  
# lum_hdr_m:    luminance from masked HDR image  
# lum_jpg_m:    luminance from masked and tone mapped HDR image  
# lum_sqrcrpt:  luminance from cropped square of low_LDR image  
####################################################################### 
no,date,time,sun_x,sun_y,lum_hdr,lum_hdr_m,lum_jpg_m,lum_sqrcrpt 
0,2018-06-05,09:00:02,0,0,15470.036,12382.0490349,108318.3738278,0
1,2018-06-05,09:00:25,0,0,15571.2295,12470.176283,108006.7874905,0
2,2018-06-05,09:00:48,0,0,15893.817,12496.1494839,106028.4602509,0
3,2018-06-05,09:01:10,0,0,15799.692,12353.981002,107173.4879234,0
4,2018-06-05,09:01:33,0,0,15674.919,12235.8831431,105545.1736156,0
5,2018-06-05,09:01:56,0,0,15194.523,11967.1136921,103425.7780455,0
6,2018-06-05,09:02:19,0,0,15129.122,11970.6786916,99873.8128713,0
7,2018-06-05,09:02:58,0,0,15193.062,11940.7157764,101220.5797524,0
8,2018-06-05,09:03:23,0,0,15117.794,11806.3496409,101867.8147621,0
9,2018-06-05,09:03:46,0,0,15180.833,11733.8801626,101157.2591625,0
10,2018-06-05,09:04:09,0,0,14772.803,11547.9274519,98797.4580748,0
11,2018-06-05,09:04:31,0,0,14492.375,11431.8180668,95158.7928143,0
12,2018-06-05,09:04:54,0,0,14258.6875,11299.7293724,94632.4715923,0
13,2018-06-05,09:05:17,0,0,14178.125,11288.8306284,96260.5503854,0
14,2018-06-05,09:05:41,0,0,13915.39,11022.3635546,94158.9010525,0
15,2018-06-05,09:06:05,0,0,14319.578,11230.6766261,95340.1553913,0
16,2018-06-05,09:06:40,0,0,14308.723,11255.0159352,95747.4582957,0
17,2018-06-05,09:07:03,0,0,14564.491,11376.083425,95194.6195019,0
18,2018-06-05,09:07:32,0,0,14653.009,11356.5833626,97854.5704516,0
19,2018-06-05,09:07:54,0,0,14246.271,11310.0304918,96056.1850031,0
20,2018-06-05,09:08:17,0,0,14088.186,11273.9754261,96001.4200133,0
21,2018-06-05,09:08:40,0,0,13792.921,11104.7624627,95013.4153137,0
22,2018-06-05,09:09:02,0,0,14014.359,11309.4497132,94885.8130782,0
23,2018-06-05,09:09:25,0,0,13970.758,11261.0192586,93230.7267923,0
24,2018-06-05,09:09:48,0,0,13865.591,11215.171098,97418.4262014,0
25,2018-06-05,09:10:11,0,0,13904.419,11320.506265,93281.1675073,0
26,2018-06-05,09:10:33,0,0,13737.976,11179.1223449,93651.4936845,0
27,2018-06-05,09:10:56,0,0,13945.27,11322.2325391,93605.3230562,0
28,2018-06-05,09:11:19,0,0,14000.208,11365.3582287,92706.0506528,0
29,2018-06-05,09:11:45,0,0,14309.394,11645.7276415,93447.6066476,0
30,2018-06-05,09:12:07,0,0,14590.406,11857.8654022,96185.6312832,0
31,2018-06-05,09:12:32,0,0,14704.334,11937.8518787,96322.2200201,0
32,2018-06-05,09:12:55,0,0,15089.556,12177.8340244,99562.9394487,0
33,2018-06-05,09:13:18,0,0,15500.62,12490.9740923,102983.1166933,0
34,2018-06-05,09:13:41,0,0,15645.9,12654.3125479,105671.2576231,0
35,2018-06-05,09:14:04,0,0,15565.053,12694.0288129,105728.8191589,0
36,2018-06-05,09:14:27,0,0,16286.528,13424.843595,109246.5060198,0
37,2018-06-05,09:14:49,0,0,16088.49,13345.6013626,108961.094302,0
38,2018-06-05,09:15:12,0,0,16200.37,13529.9254139,105560.3221043,0
39,2018-06-05,09:15:40,0,0,16969.791,14231.0415525,117016.1398127,0
40,2018-06-05,09:16:13,0,0,17363.771,14559.9952953,113128.4821033,0
41,2018-06-05,09:16:36,0,0,17750.498,14883.9715726,115076.3563609,0
42,2018-06-05,09:16:59,0,0,17999.967,15087.9341972,116216.3690934,0
43,2018-06-05,09:17:23,0,0,20585.389,16312.7693875,126636.5628933,0
44,2018-06-05,09:17:45,0,0,22873.498,17744.482341,137794.8732074,0
45,2018-06-05,09:18:08,0,0,23586.207,18155.8859475,141567.9887981,0
46,2018-06-05,09:18:32,0,0,24001.611,18440.1893145,141106.4620445,0
47,2018-06-05,09:18:55,0,0,24008.791,18504.5687056,138264.6559628,0
48,2018-06-05,09:19:18,0,0,24201.191,18499.1953704,134670.9146254,0
49,2018-06-05,09:19:40,0,0,22851.057,17478.9941929,128575.4770347,0
50,2018-06-05,09:20:03,0,0,22981.22,17754.0342153,127737.8321308,0
51,2018-06-05,09:20:30,0,0,21247.758,16533.9708608,128874.6353713,0
52,2018-06-05,09:20:53,0,0,20817.89,16445.5234208,124104.0685135,0
53,2018-06-05,09:21:15,0,0,20910.06,16562.0037653,125259.6934747,0
54,2018-06-05,09:21:41,0,0,20803.018,16446.9807176,123176.4036602,0
55,2018-06-05,09:22:04,0,0,20246.148,15939.2856446,121500.240752,0
56,2018-06-05,09:22:29,0,0,20444.748,16123.5659825,124526.6519348,0
57,2018-06-05,09:22:52,0,0,20386.244,16037.4983461,122046.8362097,0
58,2018-06-05,09:23:15,0,0,19667.076,15420.9942781,121363.646575,0
59,2018-06-05,09:23:43,0,0,19767.701,15472.3950209,120129.8320564,0
60,2018-06-05,09:24:07,0,0,19409.404,15171.8964021,120691.2036844,0
61,2018-06-05,09:24:34,0,0,19850.766,15515.2585666,120725.8436882,0
62,2018-06-05,09:24:57,0,0,19616.045,15353.221976,119415.7785875,0
63,2018-06-05,09:25:19,0,0,19679.484,15435.9130641,121445.5148221,0
64,2018-06-05,09:25:45,0,0,19019.664,14942.847477,117400.8627981,0
65,2018-06-05,09:26:08,0,0,19262.672,15160.4430335,118389.2125132,0
66,2018-06-05,09:26:33,0,0,19128.56,15076.2591698,117725.551126,0
67,2018-06-05,09:26:56,0,0,18828.854,14832.8443569,116367.6612053,0
68,2018-06-05,09:27:18,0,0,18843.027,14827.3305155,115230.674173,0
69,2018-06-05,09:27:41,0,0,19037.309,14956.4610814,116318.907137,0
70,2018-06-05,09:28:04,0,0,18854.537,14801.4883417,118580.7761464,0
71,2018-06-05,09:28:27,0,0,18898.014,14837.3602308,119046.7244914,0
72,2018-06-05,09:28:49,0,0,19168.955,15029.2664902,116830.5926629,0
73,2018-06-05,09:29:12,0,0,19315.701,15126.9613719,117387.7079223,0
74,2018-06-05,09:29:35,0,0,19236.348,15054.4121105,114833.0217112,0
75,2018-06-05,09:29:58,0,0,19242.229,15073.2786448,117568.4421826,0
76,2018-06-05,09:30:21,0,0,18961.857,14900.5516585,116423.1397329,0
77,2018-06-05,09:30:43,0,0,19213.635,15148.9397162,116618.8118445,0
78,2018-06-05,09:31:06,0,0,19147.768,15120.7741436,119359.7788032,0
79,2018-06-05,09:31:29,0,0,19671.822,15554.9887979,119597.2227933,0
80,2018-06-05,09:31:52,0,0,19903.729,15758.6895391,121291.6786969,0
81,2018-06-05,09:32:15,0,0,19750.006,15682.4738974,124214.2018911,0
