####################################################################### 
# Datet Time: 20171123 Camera ID: 1 Softwareversion: 1.  
####################################################################### 
# sun_x, sun_y: position in pixels of sun.  
# lum_hdr:      luminance from HDR image  
# lum_hdr_m:    luminance from masked HDR image  
# lum_jpg_m:    luminance from masked and tone mapped HDR image  
# lum_sqrcrpt:  luminance from cropped square of low_LDR image  
####################################################################### 
no,date,time,sun_x,sun_y,lum_hdr,lum_hdr_m,lum_jpg_m,lum_sqrcrpt 
0,2017-11-23,07:42:02,0,0,0,0,931.0303543,0
1,2017-11-23,07:45:02,0,0,0,0,1526.7949396,0
2,2017-11-23,07:48:02,0,0,0,0,1621.1050548,0
3,2017-11-23,07:51:02,0,0,0,0,1586.7091956,0
4,2017-11-23,07:54:02,0,0,0,0.0001155,1921.3227597,0
5,2017-11-23,07:57:02,0,0,0,1.038755,2314.8310645,0
6,2017-11-23,08:00:02,0,0,0,7.303637,2413.6533551,0
7,2017-11-23,08:03:02,0,0,0,46.8698885,2865.3679857,0
8,2017-11-23,08:06:02,0,0,3397.0195,363.9247679,3612.4385929,0
9,2017-11-23,08:09:02,0,0,1837.9883,313.6647575,4240.8357819,0
10,2017-11-23,08:12:02,0,0,1726.1183,1253.3739928,5152.7877163,0
11,2017-11-23,08:15:02,0,0,2080.7183,1580.6105943,7102.0614316,0
12,2017-11-23,08:18:02,0,0,2527.8792,2003.8569721,7998.8134603,0
13,2017-11-23,08:21:02,0,0,1999.5924,1490.0730663,9054.6039152,0
14,2017-11-23,08:24:02,0,0,1452.8322,813.5210662,9992.3486068,0
15,2017-11-23,08:27:02,0,0,1536.4415,901.3792211,10456.1023939,0
16,2017-11-23,08:30:02,0,0,1878.1707,1318.4979183,11145.5429918,0
17,2017-11-23,08:33:02,0,0,1641.8784,916.5282529,10443.1421768,0
18,2017-11-23,08:36:02,0,0,1972.534,1388.4650959,10872.0481135,0
19,2017-11-23,08:39:01,0,0,2404.601,1812.4134263,11377.5608076,0
20,2017-11-23,08:42:02,0,0,2803.8857,2198.1966712,12185.1313625,0
21,2017-11-23,08:45:02,0,0,2345.062,1747.2448649,12415.6421782,0
22,2017-11-23,08:48:02,0,0,2390.5913,1777.2451948,13675.8623972,0
23,2017-11-23,08:51:02,0,0,3300.6055,2642.748047,14352.0969643,0
24,2017-11-23,08:54:02,0,0,2858.676,2238.6855482,14678.9478652,0
25,2017-11-23,08:57:02,0,0,3507.7778,2813.219159,16558.8128586,0
26,2017-11-23,09:00:02,0,0,3831.2354,3115.2095636,17600.7750744,0
27,2017-11-23,09:03:02,0,0,3966.3955,3257.5893895,18989.186911,0
28,2017-11-23,09:06:02,0,0,3632.1138,2961.2217086,19172.3939581,0
29,2017-11-23,09:09:02,0,0,4186.2417,3443.6362675,18894.4070289,0
30,2017-11-23,09:12:02,0,0,4012.736,3261.6249532,19251.6939319,0
31,2017-11-23,09:15:01,0,0,3837.3884,3088.8731502,19477.1441492,0
32,2017-11-23,09:18:02,0,0,4160.6284,3360.9182298,20595.8575141,0
33,2017-11-23,09:21:02,0,0,4480.3105,3656.2433033,22707.8276425,0
34,2017-11-23,09:24:02,0,0,5214.8643,4318.2651973,25125.7440571,0
35,2017-11-23,09:27:02,0,0,6075.0024,5007.6302611,27972.2134543,0
36,2017-11-23,09:30:01,0,0,6977.0747,5570.7537784,29756.924523,0
37,2017-11-23,09:33:02,0,0,6823.9673,5242.8465151,32559.6983207,0
38,2017-11-23,09:36:02,0,0,7911.4697,6321.6462074,34504.7223775,0
39,2017-11-23,09:39:02,0,0,9391.649,7191.8922394,41888.3074965,0
40,2017-11-23,09:42:02,0,0,10542.488,7737.1780298,47482.0621823,0
41,2017-11-23,09:45:02,0,0,9645.574,6847.2553338,45704.4214648,0
42,2017-11-23,09:48:02,0,0,8398.225,6240.1944325,36842.2665442,0
43,2017-11-23,09:51:02,0,0,8564.898,6249.4367198,35571.8243526,0
44,2017-11-23,09:54:02,0,0,7418.5728,5457.9465534,33227.5934735,0
45,2017-11-23,09:57:02,0,0,7498.2646,5722.9462708,31275.8166464,0
46,2017-11-23,10:00:02,0,0,7688.814,5760.5809653,32505.5098267,0
47,2017-11-23,10:03:02,0,0,9746.394,7003.3856383,39820.9177903,0
48,2017-11-23,10:06:02,0,0,8498.044,6114.6544783,34802.3364395,0
49,2017-11-23,10:09:02,0,0,8355.515,5901.5167985,31153.2910281,0
50,2017-11-23,10:12:02,0,0,8374.493,5927.6733419,30947.8174948,0
51,2017-11-23,10:15:02,0,0,8406.104,5761.0773876,31555.2622627,0
52,2017-11-23,10:18:02,0,0,9214.154,6343.9168312,35231.4898309,0
53,2017-11-23,10:21:02,0,0,9385.132,6581.4272787,38263.4659841,0
54,2017-11-23,10:24:02,0,0,9253.701,6683.3639635,38771.4648384,0
55,2017-11-23,10:27:02,0,0,10350.09,7613.828333,43394.2670021,0
56,2017-11-23,10:30:02,0,0,11735.013,8575.4128027,52631.7405141,0
57,2017-11-23,10:33:02,0,0,12510.438,8989.3156136,58663.6312145,0
58,2017-11-23,10:36:02,0,0,13028.681,9428.4787754,60972.3144953,0
59,2017-11-23,10:39:02,0,0,14008.224,10313.5766364,69186.8376441,0
60,2017-11-23,10:42:02,0,0,15108.086,11449.2006283,79791.5219541,0
61,2017-11-23,10:45:02,0,0,15854.533,12236.2013244,90122.9343878,0
62,2017-11-23,10:48:02,0,0,15779.874,12491.3015415,85270.4275004,0
63,2017-11-23,10:51:02,0,0,17110.426,13568.5248578,99698.792884,0
64,2017-11-23,10:54:02,0,0,17909.973,14286.8693853,102593.8424591,0
65,2017-11-23,10:57:03,0,0,17736.521,14277.1002028,107836.4973498,0
66,2017-11-23,11:00:03,0,0,17121.31,13856.9643465,103152.169702,0
67,2017-11-23,11:03:02,0,0,18154.828,14704.9279298,106846.9168086,0
68,2017-11-23,11:06:02,0,0,18192.791,15052.3955815,108959.2494724,0
69,2017-11-23,11:09:02,0,0,18897.787,15787.9441712,113431.2681043,0
70,2017-11-23,11:12:02,0,0,18764.816,15853.5982491,114289.9821245,0
71,2017-11-23,11:15:02,0,0,19710.52,16514.8519529,119644.4916548,0
72,2017-11-23,11:18:02,0,0,16949.611,14421.2546048,104411.8055684,0
73,2017-11-23,11:21:02,0,0,16957.398,14149.4454639,103735.9163083,0
74,2017-11-23,11:24:02,0,0,16416.67,13809.4146825,94942.9811186,0
75,2017-11-23,11:27:02,0,0,13240.142,11828.4207566,84207.5890957,0
76,2017-11-23,11:30:01,0,0,13277.75,11678.8903981,78354.8811178,0
77,2017-11-23,11:33:02,0,0,12523.44,11179.9469962,78908.3264272,0
78,2017-11-23,11:36:02,0,0,12364.964,11018.5888276,78106.2849694,0
79,2017-11-23,11:39:02,0,0,11970.802,10794.4720132,76609.06199,0
80,2017-11-23,11:42:02,0,0,12159.703,11000.4372942,77257.1325321,0
81,2017-11-23,11:45:02,0,0,12162.603,11024.4057928,76408.6645186,0
82,2017-11-23,11:48:02,0,0,12316.435,11169.8525332,77134.4901791,0
83,2017-11-23,11:51:02,0,0,12480.873,11301.8085678,78510.3762378,0
84,2017-11-23,11:54:01,0,0,12568.879,11307.8335937,78581.2655406,0
85,2017-11-23,11:57:02,0,0,12984.633,11539.6810173,79111.4274921,0
86,2017-11-23,12:00:02,0,0,13555.913,11866.2899838,79723.6876511,0
87,2017-11-23,12:03:02,0,0,13319.409,11538.3511295,79658.1417512,0
88,2017-11-23,12:06:02,0,0,13190.768,11416.5867733,78025.164527,0
89,2017-11-23,12:09:02,0,0,13504.834,11595.6982921,78145.7907472,0
90,2017-11-23,12:12:02,0,0,14098.293,11736.2969104,78050.065262,0
91,2017-11-23,12:15:02,0,0,14283.376,11662.8543425,79454.0033135,0
92,2017-11-23,12:18:02,0,0,12888.723,10832.0477517,72496.9336235,0
93,2017-11-23,12:21:02,0,0,12942.052,10940.0436257,74346.4255514,0
94,2017-11-23,12:24:02,0,0,16249.71,13072.914787,89810.6976386,0
95,2017-11-23,12:27:02,0,0,16300.589,13581.5084223,91703.50856,0
96,2017-11-23,12:30:02,0,0,17025.791,13572.292502,95063.3499976,0
97,2017-11-23,12:33:02,0,0,16077.858,13216.9779479,89481.1948948,0
98,2017-11-23,12:36:02,0,0,15749.338,12909.0827748,86036.7148294,0
99,2017-11-23,12:39:02,0,0,17410.994,13522.0923012,96444.7007258,0
100,2017-11-23,12:42:02,0,0,13821.796,11528.6412587,77696.0774119,0
101,2017-11-23,12:45:02,0,0,14711.986,11447.1266174,79138.1585564,0
102,2017-11-23,12:48:02,0,0,15964.114,11993.4211366,76441.0413621,0
103,2017-11-23,12:51:02,0,0,15970.153,11744.3059116,73503.5137008,0
104,2017-11-23,12:54:02,0,0,16848.652,12183.1375409,75044.8540276,0
105,2017-11-23,12:57:03,0,0,15179.288,11289.9811681,72122.9093706,0
106,2017-11-23,13:00:02,0,0,14996.559,10670.5661753,65730.4107008,0
107,2017-11-23,13:03:02,0,0,13665.551,9653.4734316,59412.9212444,0
108,2017-11-23,13:06:02,0,0,12125.856,8942.9907784,55343.0581713,0
109,2017-11-23,13:09:02,0,0,11827.7705,8771.1723182,55681.8500496,0
110,2017-11-23,13:12:02,0,0,11866.373,9154.0346593,55152.0487924,0
111,2017-11-23,13:15:02,0,0,13209.394,9957.7974745,63244.7820231,0
112,2017-11-23,13:18:02,0,0,14013.303,10730.1885801,66972.4464645,0
113,2017-11-23,13:21:02,0,0,15553.533,11881.6753567,76454.7083893,0
114,2017-11-23,13:24:02,0,0,18082.123,13473.8652745,97034.2425069,0
115,2017-11-23,13:27:02,0,0,16981.404,12927.2867809,92863.4153246,0
116,2017-11-23,13:30:02,0,0,14717.239,11467.6046256,80758.5929818,0
117,2017-11-23,13:33:02,0,0,12653.066,10295.3617666,67654.6034914,0
118,2017-11-23,13:36:02,0,0,10836.886,9223.9674374,59210.8842788,0
119,2017-11-23,13:39:02,0,0,10518.0,8697.1595061,58364.9383646,0
120,2017-11-23,13:42:02,0,0,10574.208,8653.8229724,54788.2802255,0
121,2017-11-23,13:45:02,0,0,10911.445,8744.8458927,53330.3809347,0
122,2017-11-23,13:48:02,0,0,12043.296,9165.7767314,56728.5448896,0
123,2017-11-23,13:51:02,0,0,12470.03,9444.1226612,60181.3547932,0
124,2017-11-23,13:54:02,0,0,13112.769,9781.7891217,61252.4092604,0
125,2017-11-23,13:57:02,0,0,11963.607,9408.9372032,58436.568749,0
126,2017-11-23,14:00:01,0,0,11937.996,8978.7396334,56542.3356915,0
127,2017-11-23,14:03:02,0,0,10575.05,8618.3149906,56051.6585265,0
128,2017-11-23,14:06:02,0,0,9858.692,8392.7453482,52042.9389224,0
129,2017-11-23,14:09:02,0,0,9638.368,8302.9101686,54450.7846957,0
130,2017-11-23,14:12:02,0,0,9997.986,8558.6093135,53769.7324836,0
131,2017-11-23,14:15:02,0,0,10196.423,8595.1904254,56176.4206222,0
