img_nr,iso,ss,exp,r_avg,g_avg,b_avg
554,100,27666,27571,4941.30,4638.46,4945.69
555,100,27723,27628,4943.78,4639.93,4948.09
556,100,27760,27666,4943.79,4639.82,4948.13
557,100,27817,27723,4945.10,4641.12,4949.81
558,100,27874,27779,4946.88,4642.69,4952.15
559,100,27912,27817,4945.95,4641.15,4950.17
560,100,27968,27874,4947.80,4642.96,4952.94
561,100,28025,27931,4950.36,4644.74,4955.35
562,100,28063,27968,4952.82,4646.41,4957.91
563,100,28120,28025,4954.41,4647.31,4959.28
564,100,28176,28082,4935.66,4635.08,4939.80
565,100,28214,28120,4955.60,4647.94,4960.90
566,100,28271,28176,4958.30,4649.46,4962.60
567,100,28309,28214,4961.16,4651.53,4965.85
568,100,28365,28347,4962.44,4652.70,4967.25
569,100,28422,28347,4962.11,4651.74,4967.23
570,100,28460,28365,4964.50,4653.02,4969.21
571,100,28517,28422,4965.70,4654.22,4970.48
572,100,28573,28479,4968.69,4656.22,4972.70
573,100,28611,28517,4969.57,4657.11,4974.66
574,100,28668,28573,4970.43,4657.14,4974.80
575,100,28725,28630,4970.98,4657.63,4975.88
576,100,28762,28668,4970.56,4657.99,4975.59
577,100,28819,28725,4972.91,4658.60,4977.09
578,100,28876,28781,4975.20,4660.51,4980.05
579,100,28914,28819,4976.51,4661.01,4981.44
580,100,28970,28876,4977.90,4662.49,4983.25
581,100,29008,28914,4979.02,4662.91,4984.05
582,100,29065,28970,4979.30,4662.99,4983.89
583,100,29122,29027,4981.78,4664.70,4987.16
584,100,29159,29065,4982.93,4665.52,4988.02
585,100,29216,29122,4986.75,4667.68,4991.50
586,100,29273,29178,4989.85,4669.94,4994.67
587,100,29311,29216,4989.73,4669.34,4994.51
588,100,29367,29273,4988.86,4669.58,4994.27
589,100,29424,29330,4990.73,4670.35,4995.45
590,100,29462,29367,4990.85,4670.02,4995.43
591,100,29519,29424,4993.58,4671.98,4998.32
592,100,29575,29481,4997.37,4674.95,5002.28
593,100,29613,29519,4996.77,4674.07,5001.93
594,100,29670,29575,4998.74,4675.77,5003.99
595,100,29726,29632,4998.86,4675.84,5003.80
596,100,29764,29670,5000.98,4677.03,5006.17
597,100,29821,29726,5002.88,4678.50,5008.07
598,100,29859,29764,5003.01,4678.35,5008.03
599,100,29916,29821,5007.60,4681.28,5013.04
600,100,29972,29878,5010.96,4682.99,5015.61
601,100,30010,29916,5011.30,4683.65,5016.83
602,100,30067,29972,5011.67,4684.07,5016.80
603,100,30123,30029,5013.25,4684.84,5018.38
604,100,30161,30067,5015.58,4686.22,5020.10
605,100,30218,30123,5016.87,4687.31,5022.69
606,100,30275,30180,5017.71,4687.94,5022.49
607,100,30313,30218,5020.55,4689.52,5025.53
608,100,30369,30275,5021.69,4690.25,5026.84
609,100,30426,30331,5023.51,4691.61,5028.67
610,100,30464,30369,5025.35,4693.46,5031.22
611,100,30520,30426,5026.96,4693.81,5032.65
612,100,30577,30483,5029.82,4695.18,5034.24
613,100,30615,30520,5031.85,4697.04,5036.63
614,100,30672,30577,5031.08,4696.44,5036.01
615,100,30710,30710,5035.92,4699.10,5040.82
616,100,30766,30710,5035.03,4698.63,5040.05
617,100,30823,30728,5035.90,4699.81,5041.18
618,100,30861,30766,5036.03,4699.85,5041.31
619,100,30917,30823,5038.03,4700.93,5043.20
620,100,30974,30880,5039.96,4701.92,5044.58
621,100,31012,30917,5038.87,4701.45,5043.70
622,100,31069,30974,5040.91,4702.58,5045.68
623,100,31125,31031,5042.27,4703.86,5047.86
624,100,31163,31069,5041.16,4703.29,5046.34
625,100,31220,31125,5044.01,4705.28,5049.05
626,100,31277,31182,5046.84,4706.45,5051.98
627,100,31314,31220,5044.80,4705.39,5049.62
628,100,31371,31277,5047.56,4707.23,5052.78
629,100,31428,31333,5049.51,4708.97,5054.69
630,100,31466,31371,5051.90,4709.75,5056.13
631,100,31522,31428,5053.40,4710.87,5058.59
632,100,31560,31466,5054.72,4711.64,5060.01
633,100,31617,31522,5056.94,4713.18,5062.32
634,100,31674,31579,5058.60,4713.96,5063.38
635,100,31711,31617,5059.06,4714.81,5064.36
636,100,31768,31674,5060.11,4715.57,5065.80
637,100,31825,31730,5063.65,4717.71,5068.70
638,100,31863,31768,5065.13,4718.73,5070.63
639,100,31919,31825,5067.09,4719.99,5072.38
640,100,31976,31882,5068.87,4720.89,5073.80
641,100,32014,31919,5069.27,4720.77,5073.78
642,100,32071,31976,5071.32,4722.49,5076.15
643,100,32127,32033,5072.97,4723.34,5077.82
644,100,32165,32071,5074.86,4724.73,5080.14
645,100,32222,32127,5076.20,4725.51,5081.40
646,100,32260,32165,5076.43,4725.78,5081.56
647,100,32316,32222,5080.31,4728.05,5084.64
648,100,32373,32279,5082.72,4729.73,5087.66
649,100,32411,32316,5082.57,4729.37,5087.25
650,100,32468,32373,5083.92,4730.72,5089.63
651,100,32524,32430,5085.88,4732.15,5091.15
652,100,32562,32468,5085.82,4731.99,5091.10
653,100,32619,32524,5087.30,4732.71,5092.70
654,100,32676,32581,5090.22,4734.59,5095.32
655,100,32713,32619,5089.46,4734.20,5094.67
656,100,32770,32676,5091.38,4735.70,5096.74
657,100,32827,32732,5092.82,4736.33,5097.60
658,100,32865,32770,5094.19,4737.21,5099.27
659,100,32921,32827,5096.65,4738.61,5101.42
660,100,32978,32883,5099.92,4740.61,5104.47
661,100,33016,32921,5099.77,4741.06,5105.04
662,100,33073,33073,5101.26,4741.73,5106.37
663,100,33129,33073,5105.44,4743.96,5109.86
664,100,33167,33073,5107.04,4745.61,5111.52
665,100,33224,33129,5109.31,4747.13,5113.90
666,100,33262,33167,5109.80,4747.19,5114.71
667,100,33318,33224,5110.56,4747.45,5115.65
668,100,33375,33280,5111.29,4748.05,5116.00
669,100,33413,33318,5111.67,4748.47,5117.21
670,100,33469,33375,5112.33,4748.87,5117.39
671,100,33526,33432,5115.53,4750.76,5119.82
672,100,33564,33469,5115.25,4750.42,5119.85
673,100,33621,33526,5117.30,4752.40,5122.44
674,100,33677,33583,5119.67,4753.79,5124.22
675,100,33715,33621,5120.33,4753.96,5125.25
676,100,33772,33677,5119.81,4753.96,5125.60
677,100,33829,33734,5123.40,4756.21,5128.30
678,100,33866,33772,5124.16,4756.49,5129.24
679,100,33923,33829,5126.12,4757.70,5130.99
680,100,33961,33866,5128.02,4758.89,5132.54
681,100,34018,33923,5128.19,4759.24,5133.16
682,100,34074,33980,5129.71,4760.23,5134.62
683,100,34112,34018,5131.71,4761.46,5136.42
684,100,34169,34074,5133.36,4762.99,5138.51
685,100,34226,34131,5135.13,4763.99,5140.38
686,100,34263,34169,5134.89,4764.17,5140.20
687,100,34320,34226,5137.50,4764.68,5141.87
688,100,34377,34282,5138.79,4765.51,5143.27
689,100,34415,34320,5139.10,4766.00,5143.99
690,100,34471,34377,5138.97,4766.40,5143.92
691,100,34528,34434,5141.39,4767.70,5146.31
692,100,34566,34471,5143.52,4769.35,5148.31
693,100,34623,34528,5147.50,4771.78,5152.28
694,100,34679,34585,5148.48,4772.22,5153.11
695,100,34717,34623,5150.44,4773.87,5155.21
696,100,34774,34679,5150.66,4774.10,5155.88
697,100,34812,34717,5151.76,4774.96,5156.68
698,100,34868,34774,5154.20,4776.18,5158.67
699,100,34925,34831,5155.26,4776.25,5159.28
700,100,34963,34868,5156.14,4777.25,5160.98
701,100,35020,34925,5157.80,4778.36,5162.04
702,100,35076,34982,5157.21,4778.70,5162.75
703,100,35114,35020,5159.89,4779.64,5164.77
704,100,35171,35076,5160.31,4779.90,5164.47
705,100,35228,35133,5163.67,4782.44,5168.42
706,100,35265,35171,5162.18,4781.49,5167.21
707,100,35322,35228,5163.71,4782.10,5168.38
708,100,35379,35284,5167.13,4784.54,5171.43
709,100,35417,35322,5169.68,4785.78,5174.98
710,100,35473,35436,5171.72,4787.46,5176.35
711,100,35530,35436,5171.90,4787.27,5176.08
712,100,35568,35473,5171.96,4787.62,5176.60
713,100,35625,35530,5173.97,4789.02,5178.87
714,100,35662,35568,5174.16,4789.11,5178.73
715,100,35719,35625,5177.81,4791.36,5182.44
716,100,35776,35681,5177.95,4791.63,5183.07
717,100,35814,35719,5180.74,4793.74,5184.85
718,100,35870,35776,5181.93,4793.73,5185.62
719,100,35927,35832,5182.58,4794.44,5186.87
720,100,35965,35870,5185.07,4795.92,5189.67
721,100,36022,35927,5187.47,4797.61,5192.11
722,100,36078,35984,5187.86,4797.68,5192.73
723,100,36116,36022,5188.66,4798.38,5193.28
724,100,36173,36078,5193.69,4801.60,5197.91
725,100,36229,36135,5193.38,4801.42,5197.65
726,100,36267,36173,5193.26,4801.74,5197.86
727,100,36324,36229,5195.67,4802.43,5200.09
728,100,36381,36286,5199.39,4805.41,5203.70
729,100,36419,36324,5199.77,4805.68,5204.17
730,100,36475,36381,5199.38,4805.23,5203.92
731,100,36513,36419,5201.85,4807.11,5206.28
732,100,36570,36475,5204.12,4808.41,5208.64
733,100,36626,36532,5203.70,4808.02,5208.01
734,100,36664,36570,5206.32,4809.84,5210.63
735,100,36721,36626,5208.38,4811.19,5212.32
736,100,36778,36683,5208.25,4811.31,5212.82
737,100,36815,36721,5212.60,4813.98,5217.09
738,100,36872,36778,5211.46,4812.79,5215.40
739,100,36929,36834,5215.45,4815.45,5219.67
740,100,36967,36872,5214.84,4814.72,5218.74
741,100,37023,36929,5215.87,4815.58,5220.17
742,100,37080,36986,5216.83,4816.76,5221.09
743,100,37118,37023,5215.47,4815.92,5219.90
744,100,37175,37080,5217.50,4817.12,5221.69
745,100,37231,37137,5220.21,4818.94,5223.80
746,100,37269,37175,5222.60,4820.01,5226.98
747,100,37326,37231,5224.19,4821.44,5228.69
748,100,37364,37269,5226.03,4822.58,5230.24
749,100,37420,37326,5228.25,4823.87,5232.26
750,100,37477,37383,5229.50,4824.43,5233.23
751,100,37515,37420,5229.52,4824.96,5233.94
752,100,37572,37477,5230.92,4825.61,5234.98
753,100,37628,37534,5233.78,4827.55,5238.04
754,100,37666,37572,5236.85,4829.70,5240.65
755,100,37723,37628,5236.52,4829.83,5241.01
756,100,37780,37685,5238.99,4830.98,5243.31
757,100,37817,37799,5237.63,4830.07,5241.52
758,100,37874,37799,5238.84,4831.04,5242.86
759,100,37931,37836,5242.55,4832.84,5246.77
760,100,37969,37874,5244.55,4834.38,5249.27
761,100,38025,37931,5244.87,4835.17,5249.06
762,100,38082,37988,5245.64,4835.21,5249.28
763,100,38120,38025,5247.58,4836.58,5251.78
764,100,38177,38082,5248.54,4837.19,5252.50
765,100,38214,38120,5249.21,4837.67,5253.38
766,100,38271,38177,5253.13,4839.79,5257.01
767,100,38328,38233,5253.48,4840.34,5257.75
768,100,38366,38271,5256.36,4841.88,5259.86
769,100,38422,38328,5257.98,4843.04,5261.84
770,100,38479,38385,5259.02,4843.59,5262.83
771,100,38517,38422,5259.08,4844.30,5262.92
772,100,38574,38479,5262.18,4846.03,5266.31
773,100,38630,38536,5262.28,4846.18,5266.91
774,100,38668,38574,5265.02,4848.01,5269.29
775,100,38725,38630,5266.70,4848.54,5270.75
776,100,38782,38687,5267.58,4849.50,5271.05
777,100,38819,38725,5265.29,4847.93,5269.18
778,100,38876,38782,5267.22,4849.19,5270.97
779,100,38914,38819,5268.15,4849.78,5271.90
780,100,38971,38876,5269.61,4850.98,5273.96
781,100,39027,38933,5276.16,4854.55,5279.85
782,100,39065,38971,5277.29,4855.51,5280.67
783,100,39122,39027,5279.52,4857.29,5282.99
784,100,39178,39084,5279.58,4857.32,5283.24
785,100,39216,39122,5280.97,4857.96,5285.06
786,100,39273,39178,5280.13,4857.36,5283.71
787,100,39330,39235,5283.11,4859.09,5286.45
788,100,39368,39273,5283.74,4859.78,5287.53
789,100,39424,39330,5288.79,4863.15,5292.60
790,100,39481,39386,5292.25,4865.21,5295.79
791,100,39519,39424,5292.31,4865.57,5296.28
792,100,39575,39481,5293.55,4866.14,5297.35
793,100,39632,39538,5294.97,4866.75,5298.55
794,100,39670,39575,5295.91,4867.15,5298.88
795,100,39727,39632,5295.63,4867.75,5299.75
796,100,39783,39689,5299.59,4869.96,5302.75
797,100,39821,39727,5300.64,4870.91,5304.53
798,100,39878,39783,5302.46,4871.72,5306.08
799,100,39916,39821,5306.07,4874.12,5309.70
800,100,39972,39878,5306.16,4875.05,5310.17
801,100,40029,39935,5303.29,4872.27,5307.31
802,100,40067,39972,5306.94,4875.01,5311.01
803,100,40124,40029,5309.67,4877.01,5313.59
804,100,40180,40162,5312.55,4878.37,5316.99
805,100,40218,40162,5311.31,4877.50,5314.47
806,100,40275,40180,5313.88,4878.82,5316.82
807,100,40332,40237,5315.37,4880.66,5318.93
808,100,40369,40275,5316.28,4880.38,5319.57
809,100,40426,40332,5319.64,4883.11,5322.67
810,100,40483,40388,5324.43,4886.11,5328.35
811,100,40521,40426,5326.17,4886.98,5329.31
812,100,40577,40483,5327.65,4888.28,5331.07
813,100,40615,40521,5327.06,4888.06,5331.36
814,100,40672,40577,5331.16,4890.03,5333.74
815,100,40729,40634,5330.79,4890.09,5334.17
816,100,40766,40672,5331.77,4890.39,5335.61
817,100,40823,40729,5336.14,4893.32,5339.12
818,100,40880,40785,5336.87,4894.14,5339.59
819,100,40918,40823,5336.14,4894.17,5339.95
820,100,40974,40880,5337.40,4894.08,5339.90
821,100,41031,40937,5340.11,4895.78,5343.23
822,100,41069,40974,5339.59,4895.50,5342.94
823,100,41126,41031,5339.26,4896.04,5343.10
824,100,41182,41088,5341.66,4897.13,5344.27
825,100,41220,41126,5338.86,4895.99,5343.07
826,100,41277,41182,5341.92,4897.45,5345.10
827,100,41334,41239,5342.74,4897.77,5345.89
828,100,41371,41277,5344.23,4899.14,5347.51
829,100,41428,41334,5344.88,4899.61,5348.19
830,100,41466,41371,5347.75,4901.00,5350.98
831,100,41523,41428,5348.87,4901.84,5352.24
832,100,41579,41485,5351.95,4903.63,5355.11
833,100,41617,41523,5353.05,4904.84,5356.24
834,100,41674,41579,5323.77,4886.13,5327.45
835,100,41731,41636,5354.79,4905.63,5357.94
836,100,41768,41674,5354.48,4905.47,5357.58
837,100,41825,41731,5358.56,4907.90,5362.03
838,100,41882,41787,5362.54,4910.51,5365.28
839,100,41920,41825,5362.24,4910.16,5364.95
840,100,41976,41882,5361.81,4909.93,5365.04
841,100,42033,41938,5365.97,4912.98,5369.36
842,100,42071,41976,5368.70,4914.45,5371.89
843,100,42128,42033,5370.75,4915.75,5373.63
844,100,42184,42090,5371.45,4916.23,5374.58
845,100,42222,42128,5373.21,4917.69,5376.23
846,100,42279,42184,5374.66,4918.08,5377.31
847,100,42317,42222,5371.60,4916.73,5374.49
848,100,42373,42279,5374.09,4918.06,5376.83
849,100,42430,42335,5376.20,4919.47,5379.25
850,100,42468,42373,5378.14,4920.82,5380.77
851,100,42525,42525,5381.47,4922.74,5384.39
852,100,42581,42525,5382.25,4923.26,5385.87
853,100,42619,42525,5384.61,4924.81,5387.97
854,100,42676,42581,5387.82,4926.89,5391.11
855,100,42732,42638,5387.49,4927.19,5391.05
856,100,42770,42676,5388.16,4927.12,5391.06
857,100,42827,42732,5388.91,4927.61,5391.84
858,100,42884,42789,5392.28,4930.13,5395.81
859,100,42921,42827,5391.42,4929.56,5394.72
860,100,42978,42884,5393.01,4930.40,5395.85
861,100,43035,42940,5397.54,4933.14,5400.73
862,100,43073,42978,5397.81,4933.18,5401.03
863,100,43129,43035,5400.09,4934.64,5402.82
864,100,43167,43073,5399.10,4934.57,5403.18
865,100,43224,43129,5399.36,4934.54,5402.44
866,100,43281,43186,5403.14,4936.95,5406.32
867,100,43318,43224,5405.54,4938.30,5407.79
868,100,43375,43281,5408.15,4939.65,5410.82
869,100,43432,43337,5411.45,4942.09,5413.62
870,100,43470,43375,5413.71,4943.30,5415.94
871,100,43526,43432,5414.27,4943.59,5417.02
872,100,43583,43489,5416.60,4945.69,5419.77
873,100,43621,43526,5417.21,4945.45,5419.76
874,100,43678,43583,5418.49,4946.83,5421.38
875,100,43734,43640,5416.99,4945.92,5420.37
876,100,43772,43678,5418.69,4946.66,5421.25
877,100,43829,43734,5420.93,4948.16,5424.06
878,100,43867,43772,5422.07,4949.18,5424.92
879,100,43923,43829,5420.90,4948.59,5424.25
880,100,43980,43886,5422.43,4948.66,5424.44
881,100,44018,43923,5421.43,4948.41,5424.15
882,100,44075,43980,5423.46,4950.00,5426.19
883,100,44131,44037,5424.97,4950.78,5427.93
884,100,44169,44075,5428.10,4952.29,5430.55
885,100,44226,44131,5430.08,4953.77,5433.03
886,100,44283,44188,5431.10,4954.58,5433.99
887,100,44320,44226,5432.19,4955.00,5434.46
888,100,44377,44283,5433.16,4956.26,5436.18
889,100,44434,44339,5434.00,4956.44,5436.56
890,100,44472,44377,5437.65,4958.91,5440.61
891,100,44528,44434,5437.52,4958.92,5440.58
892,100,44585,44491,5438.91,4960.02,5441.33
893,100,44623,44528,5441.25,4961.17,5443.86
894,100,44680,44585,5440.50,4961.01,5443.15
895,100,44736,44642,5441.99,4961.83,5444.36
896,100,44774,44680,5439.56,4960.36,5442.06
897,100,44831,44736,5446.75,4965.23,5449.17
898,100,44869,44774,5446.19,4964.60,5449.02
899,100,44925,44888,5449.35,4966.39,5451.82
900,100,44982,44888,5452.15,4968.09,5454.52
901,100,45020,44925,5450.87,4967.36,5452.97
902,100,45077,44982,5453.97,4968.99,5455.36
903,100,45133,45039,5455.85,4970.49,5458.60
904,100,45171,45077,5458.52,4972.24,5461.02
905,100,45228,45133,5458.62,4972.38,5461.22
906,100,45284,45190,5458.96,4972.80,5461.60
907,100,45322,45228,5461.27,4974.50,5464.33
908,100,45379,45284,5465.80,4976.70,5467.71
909,100,45436,45341,5465.24,4977.04,5467.61
910,100,45474,45379,5469.25,4979.07,5471.75
911,100,45530,45436,5471.00,4980.42,5473.44
912,100,45568,45474,5469.50,4979.74,5472.33
913,100,45625,45530,5471.94,4981.13,5474.21
914,100,45681,45587,5473.34,4982.32,5476.00
915,100,45719,45625,5474.82,4982.57,5476.66
916,100,45776,45681,5475.59,4983.53,5477.89
917,100,45833,45738,5477.79,4984.69,5480.29
918,100,45871,45776,5478.22,4985.37,5481.31
919,100,45927,45833,5477.84,4985.05,5480.78
920,100,45984,45889,5479.37,4985.57,5481.76
921,100,46022,45927,5481.29,4987.16,5483.50
922,100,46078,45984,5481.36,4987.04,5484.11
923,100,46135,46041,5483.34,4988.29,5485.78
924,100,46173,46078,5452.92,4969.12,5455.95
925,100,46230,46135,5485.20,4989.81,5488.08
926,100,46286,46192,5486.51,4990.38,5488.91
927,100,46324,46230,5490.93,4993.47,5493.67
928,100,46381,46286,5492.92,4995.15,5496.26
929,100,46419,46324,5495.86,4996.58,5498.92
930,100,46475,46381,5497.61,4997.60,5500.01
931,100,46532,46438,5497.30,4998.13,5500.03
932,100,46570,46475,5500.16,4999.28,5502.71
933,100,46627,46532,5503.36,5001.23,5505.53
934,100,46683,46589,5501.85,5000.42,5505.03
935,100,46721,46627,5505.46,5002.66,5507.71
936,100,46778,46683,5506.72,5003.83,5509.51
937,100,46835,46740,5508.30,5004.53,5510.86
938,100,46872,46778,5508.92,5004.55,5511.59
939,100,46929,46835,5509.70,5005.51,5512.43
940,100,46986,46891,5513.87,5008.03,5516.21
941,100,47024,46929,5512.51,5007.28,5514.58
942,100,47080,46986,5514.42,5008.25,5516.51
943,100,47137,47043,5516.69,5010.10,5518.94
944,100,47175,47080,5516.89,5010.03,5519.35
945,100,47232,47137,5518.65,5011.32,5521.37
946,100,47269,47251,5521.49,5012.73,5523.55
947,100,47326,47251,5520.89,5012.78,5523.87
948,100,47383,47288,5525.70,5015.46,5527.74
949,100,47421,47326,5528.13,5017.20,5530.75
950,100,47477,47383,5528.86,5017.97,5531.39
951,100,47534,47440,5528.82,5018.05,5531.65
952,100,47572,47477,5532.44,5020.13,5534.71
953,100,47629,47534,5532.32,5020.31,5535.02
954,100,47685,47591,5534.39,5021.47,5536.94
955,100,47723,47629,5536.14,5022.32,5538.72
956,100,47780,47685,5538.20,5023.63,5540.21
957,100,47837,47742,5539.58,5023.96,5541.55
958,100,47874,47780,5539.37,5024.49,5541.73
959,100,47931,47837,5539.05,5024.56,5541.51
960,100,47988,47893,5542.73,5026.55,5545.22
961,100,48026,47931,5545.22,5028.33,5547.50
962,100,48082,47988,5547.14,5029.66,5549.48
963,100,48120,48026,5549.15,5030.98,5551.86
964,100,48177,48082,5552.17,5032.89,5554.74
965,100,48234,48139,5553.10,5033.04,5555.36
966,100,48271,48177,5548.38,5030.15,5550.38
967,100,48328,48234,5552.58,5032.90,5554.83
968,100,48385,48290,5555.32,5034.88,5557.74
969,100,48423,48328,5557.17,5035.94,5559.65
970,100,48479,48385,5555.81,5034.95,5558.15
971,100,48536,48441,5559.50,5037.55,5561.81
972,100,48574,48479,5561.13,5038.26,5562.99
973,100,48630,48536,5560.43,5038.39,5562.65
974,100,48687,48593,5565.49,5041.69,5567.90
975,100,48725,48630,5563.28,5040.66,5566.13
976,100,48782,48687,5565.23,5041.42,5567.13
977,100,48838,48744,5568.41,5042.88,5570.66
978,100,48876,48782,5570.34,5044.47,5572.66
979,100,48933,48838,5569.75,5043.78,5571.73
980,100,48971,48876,5571.84,5045.59,5574.50
981,100,49027,48933,5576.91,5048.70,5579.74
982,100,49084,48990,5577.48,5048.87,5579.83
983,100,49122,49027,5575.95,5048.02,5578.51
984,100,49179,49084,5577.48,5049.26,5579.73
985,100,49235,49141,5576.44,5048.49,5579.64
986,100,49273,49179,5579.02,5050.22,5581.90
987,100,49330,49235,5579.67,5050.83,5581.84
988,100,49387,49292,5581.83,5052.28,5584.20
989,100,49424,49330,5583.27,5052.91,5585.60
990,100,49481,49387,5584.37,5053.79,5587.14
991,100,49538,49443,5587.15,5055.15,5589.51
992,100,49576,49481,5586.64,5054.87,5589.13
993,100,49632,49614,5589.90,5057.16,5592.21
994,100,49689,49614,5590.51,5057.57,5593.09
995,100,49727,49632,5593.70,5059.43,5595.92
996,100,49784,49689,5595.63,5061.11,5598.22
997,100,49821,49727,5597.30,5061.92,5599.72
998,100,49878,49784,5596.47,5061.03,5598.57
999,100,49935,49840,5598.08,5062.52,5600.71
1000,100,49973,49878,5598.74,5063.04,5601.61
1001,100,50029,49935,5589.00,5056.24,5591.22
1002,100,50086,49992,5601.52,5064.92,5604.50
1003,100,50124,50029,5601.35,5064.85,5604.04
1004,100,50181,50086,5603.88,5066.48,5605.62
1005,100,50237,50143,5603.07,5065.39,5605.44
1006,100,50275,50181,5606.86,5067.79,5608.92
1007,100,50332,50237,5609.22,5069.66,5611.83
1008,100,50389,50294,5610.00,5070.41,5612.36
1009,100,50426,50332,5613.84,5072.77,5616.80
1010,100,50483,50389,5615.44,5073.60,5617.49
1011,100,50521,50426,5616.01,5074.28,5618.50
1012,100,50578,50483,5617.55,5075.30,5620.14
1013,100,50634,50540,5621.41,5077.26,5623.76
1014,100,50672,50578,5619.75,5076.52,5621.85
1015,100,50729,50634,5587.40,5056.45,5590.08
1016,100,50786,50691,5621.75,5077.79,5624.16
1017,100,50823,50729,5624.83,5079.30,5627.37
1018,100,50880,50786,5624.10,5079.46,5626.68
1019,100,50937,50842,5627.68,5081.58,5630.25
1020,100,50975,50880,5630.02,5083.15,5632.52
1021,100,51031,50937,5632.29,5084.45,5634.14
1022,100,51088,50993,5638.89,5088.31,5640.47
1023,100,51126,51031,5625.05,5079.97,5627.75
1024,100,51183,51088,5621.47,5077.84,5623.97
1025,100,51239,51145,5621.97,5077.88,5623.73
1026,100,51277,51183,5628.58,5082.05,5631.01
1027,100,51334,51239,5632.90,5084.99,5635.32
1028,100,51390,51296,5633.21,5084.92,5635.61
1029,100,51428,51334,5634.93,5086.36,5637.76
1030,100,51485,51390,5635.38,5086.74,5637.97
1031,100,51523,51428,5634.04,5085.94,5636.22
1032,100,51580,51485,5638.84,5089.15,5641.58
1033,100,51636,51542,5643.82,5092.20,5646.17
1034,100,51674,51580,5641.94,5091.10,5643.93
1035,100,51731,51636,5641.15,5090.28,5643.43
1036,100,51787,51693,5640.17,5089.94,5643.40
1037,100,51825,51731,5646.52,5093.86,5649.42
1038,100,51882,51787,5647.61,5094.83,5649.79
1039,100,51939,51844,5646.63,5093.79,5648.48
1040,100,51977,51977,5652.19,5097.47,5654.11
1041,100,52033,51977,5652.65,5097.88,5655.43
1042,100,52090,51995,5652.59,5098.06,5654.88
1043,100,52128,52033,5657.99,5101.08,5660.37
1044,100,52184,52090,5656.79,5100.71,5659.03
1045,100,52222,52128,5655.01,5099.10,5657.28
1046,100,52279,52184,5660.07,5102.68,5662.90
1047,100,52336,52241,5660.84,5103.23,5663.44
1048,100,52373,52279,5662.34,5104.39,5664.97
1049,100,52430,52336,5658.23,5101.28,5660.36
1050,100,52487,52392,5661.26,5103.50,5663.64
1051,100,52525,52430,5657.06,5100.70,5659.53
1052,100,52581,52487,5664.86,5105.82,5666.78
1053,100,52638,52544,5666.20,5106.54,5667.60
1054,100,52676,52581,5668.37,5107.98,5670.30
1055,100,52733,52638,5672.60,5110.46,5674.91
1056,100,52789,52695,5674.38,5111.87,5677.24
1057,100,52827,52733,5673.73,5111.13,5676.24
1058,100,52884,52789,5674.91,5112.16,5677.58
1059,100,52941,52846,5677.63,5114.02,5680.38
1060,100,52978,52884,5677.30,5113.87,5679.78
1061,100,53035,52941,5680.25,5115.88,5682.84
1062,100,53073,52978,5685.29,5118.54,5687.24
1063,100,53130,53035,5687.59,5120.32,5690.31
1064,100,53186,53092,5690.49,5122.24,5693.46
1065,100,53224,53130,5689.53,5121.59,5691.69
1066,100,53281,53186,5689.18,5120.92,5691.89
1067,100,53338,53243,5692.59,5123.51,5695.09
1068,100,53375,53281,5695.12,5125.50,5697.74
1069,100,53432,53338,5696.22,5125.83,5698.34
1070,100,53489,53394,5697.80,5126.52,5699.56
1071,100,53527,53432,5698.64,5127.43,5701.14
1072,100,53583,53489,5699.81,5128.03,5702.34
1073,100,53640,53546,5701.07,5128.61,5703.44
1074,100,53678,53583,5704.34,5131.32,5707.06
1075,100,53735,53640,5702.68,5129.78,5705.05
1076,100,53791,53697,5707.44,5132.75,5710.19
1077,100,53829,53735,5708.37,5134.07,5711.03
1078,100,53886,53791,5710.55,5134.94,5712.93
1079,100,53924,53829,5709.60,5134.20,5711.59
1080,100,53980,53886,5710.91,5135.30,5713.37
1081,100,54037,53943,5713.64,5137.07,5715.43
1082,100,54075,53980,5714.31,5137.59,5716.75
1083,100,54132,54037,5717.71,5139.84,5720.35
1084,100,54188,54094,5724.56,5143.69,5726.16
1085,100,54226,54132,5721.19,5141.81,5723.27
1086,100,54283,54188,5724.11,5143.99,5725.88
1087,100,54340,54340,5727.34,5145.71,5729.72
1088,100,54377,54340,5728.11,5146.03,5730.06
1089,100,54434,54340,5733.01,5149.31,5735.08
1090,100,54491,54396,5731.07,5147.99,5733.50
1091,100,54529,54434,5734.78,5150.13,5736.48
1092,100,54585,54491,5738.06,5152.73,5740.23
1093,100,54642,54547,5740.29,5154.25,5742.98
1094,100,54680,54585,5739.29,5153.23,5741.59
1095,100,54736,54642,5739.79,5153.64,5741.55
1096,100,54774,54680,5739.87,5153.83,5742.02
1097,100,54831,54736,5741.07,5154.54,5743.50
1098,100,54888,54793,5739.14,5153.56,5741.46
1099,100,54926,54831,5741.63,5154.79,5743.29
1100,100,54982,54888,5741.44,5154.94,5743.09
1101,100,55039,54944,5741.48,5154.94,5744.02
1102,100,55077,54982,5743.54,5156.23,5745.77
1103,100,55133,55039,5742.65,5155.49,5745.04
1104,100,55190,55096,5748.39,5159.59,5751.37
1105,100,55228,55133,5749.71,5159.84,5751.53
1106,100,55285,55190,5751.88,5161.60,5753.83
1107,100,55341,55247,5755.35,5163.73,5757.58
